state,county,RUCC_2013,Description
Georgia,Evans,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Fannin,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Fayette,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Floyd,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Forsyth,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Franklin,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Fulton,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Gilmer,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Glascock,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Georgia,Glynn,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Gordon,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Georgia,Grady,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Greene,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Gwinnett,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Habersham,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Hall,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Hancock,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Haralson,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Harris,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,Hart,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Heard,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Henry,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Houston,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Irwin,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Jackson,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Georgia,Jasper,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Jeff Davis,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Jefferson,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Jenkins,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Johnson,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Jones,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Lamar,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Lanier,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Laurens,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Georgia,Lee,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Liberty,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Lincoln,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,Long,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Lowndes,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Lumpkin,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,McDuffie,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,McIntosh,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Macon,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Madison,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Marion,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,Meriwether,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Miller,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Mitchell,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Monroe,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Montgomery,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Georgia,Morgan,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Murray,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Muscogee,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,Newton,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Oconee,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Oglethorpe,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Paulding,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Peach,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Pickens,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Pierce,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Pike,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Polk,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Georgia,Pulaski,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Putnam,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Quitman,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Georgia,Rabun,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Randolph,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Richmond,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,Rockdale,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Schley,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Screven,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Seminole,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Spalding,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Stephens,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Stewart,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Sumter,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Talbot,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Taliaferro,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Tattnall,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Taylor,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Telfair,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Terrell,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Thomas,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Georgia,Tift,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Georgia,Toombs,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Towns,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Georgia,Treutlen,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Troup,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Georgia,Turner,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Twiggs,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Union,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Georgia,Upson,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Walker,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Georgia,Walton,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Georgia,Ware,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Georgia,Warren,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Washington,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Georgia,Wayne,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Webster,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Wheeler,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Georgia,White,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Whitfield,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Georgia,Wilcox,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Wilkes,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Georgia,Wilkinson,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Georgia,Worth,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Hawaii,Hawaii,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Hawaii,Honolulu,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Hawaii,Kalawao,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Hawaii,Kauai,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Hawaii,Maui,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Ada,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Idaho,Adams,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Idaho,Bannock,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Bear Lake,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Idaho,Benewah,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Bingham,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Idaho,Blaine,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Boise,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Idaho,Bonner,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Bonneville,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Boundary,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Butte,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Camas,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Idaho,Canyon,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Idaho,Caribou,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Cassia,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Clark,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Idaho,Clearwater,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Custer,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Idaho,Elmore,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Franklin,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Fremont,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Gem,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Idaho,Gooding,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Idaho,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Jefferson,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Jerome,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Kootenai,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Latah,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Idaho,Lemhi,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Lewis,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Idaho,Lincoln,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Idaho,Madison,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Idaho,Minidoka,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Idaho,Nez Perce,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Idaho,Oneida,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Idaho,Owyhee,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Idaho,Payette,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Power,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Shoshone,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Idaho,Teton,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Idaho,Twin Falls,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Idaho,Valley,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Idaho,Washington,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Adams,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Illinois,Alexander,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Illinois,Bond,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Boone,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Illinois,Brown,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Bureau,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Calhoun,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Carroll,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Cass,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Champaign,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Illinois,Christian,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Clark,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Clay,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Clinton,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Coles,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Illinois,Cook,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Crawford,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Cumberland,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Illinois,DeKalb,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,De Witt,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Illinois,Douglas,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,DuPage,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Edgar,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Edwards,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Illinois,Effingham,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Fayette,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Ford,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Illinois,Franklin,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Illinois,Fulton,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Gallatin,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Illinois,Greene,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Grundy,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Hamilton,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Hancock,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Hardin,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Illinois,Henderson,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Illinois,Henry,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Illinois,Iroquois,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Jackson,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Illinois,Jasper,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Jefferson,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Illinois,Jersey,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Jo Daviess,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Illinois,Johnson,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Illinois,Kane,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Kankakee,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Illinois,Kendall,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,Knox,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
Illinois,Lake,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Illinois,La Salle,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
