state,county,RUCC_2013,Description
Alabama,Tuscaloosa,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alabama,Walker,1,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
Alabama,Washington,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alabama,Wilcox,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alabama,Winston,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
Alaska,Aleutians East Borough,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Anchorage Municipality,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Alaska,Bristol Bay Borough,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Denali Borough,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
Alaska,Fairbanks North Star Borough,3,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
Alaska,Haines Borough,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Juneau City and Borough,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area                                                                                                                             "
Alaska,Kenai Peninsula Borough,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alaska,Ketchikan Gateway Borough,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alaska,Kodiak Island Borough,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alaska,Lake and Peninsula Borough,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Matanuska-Susitna Borough,2,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
Alaska,North Slope Borough,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alaska,Northwest Arctic Borough,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alaska,Petersburg Census area,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Sitka City and Borough,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
Alaska,Skagway Municipality,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Wrangell City and Borough,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
Alaska,Yakutat City and Borough,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
