city,state,White alone,Two or more races,Hispanic,Black alone,Asian alone,American Indian alone,Other race alone,Native Hawaiian and OtherPacific Islander alone
Peoria,Illinois,56.0,4.1,6.4,26.7,6.2,0.3,0.2,0.01
Olympia,Washington,74.8,3.9,9.3,3.2,6.9,1.0,0.06,0.6
Somerton,Arizona,3.0,0.06,97.4,,,0.8,,
Cleveland,Tennessee,75.7,1.9,11.6,7.4,2.4,0.2,1.3,0.01
Washburn,Maine,96.0,1.2,1.4,,0.5,0.9,0.06,
Guymon,Oklahoma,29.0,3.1,60.5,3.6,5.9,0.2,,
Lemon-Grove,California,27.7,5.0,44.9,14.3,7.8,0.2,0.06,0.5
Omaha,Nebraska,65.8,2.9,13.9,12.8,4.1,0.5,0.01,0.01
Edinburg,Texas,6.8,0.2,88.6,1.6,2.2,0.2,0.1,
North-Platte,Nebraska,84.3,0.8,11.3,1.7,1.2,0.4,,0.05
Encinitas,California,76.6,3.3,14.0,0.8,4.2,0.2,0.07,0.05
Clarkston,Georgia,8.4,1.6,4.4,59.5,25.3,1.5,0.04,0.09
Batesville,Mississippi,45.7,6.3,0.8,47.6,,,,
Hayward,Wisconsin,75.2,5.4,2.6,0.07,0.8,6.2,,
Louisville,Tennessee,86.3,2.6,1.5,7.6,1.4,0.3,,
Fairview,Tennessee,88.0,2.4,4.2,4.1,0.2,0.8,,
San-Antonio,Texas,23.9,1.7,64.5,6.6,2.8,0.2,0.2,0.05
Lowell,Massachusetts,50.3,3.1,20.1,7.2,17.4,0.9,0.6,0.5
Chesapeake-City,Maryland,7.4,2.4,6.9,0.6,1.0,,,
Brady,Texas,51.2,2.4,38.4,1.6,1.2,,4.6,
Idaho-Falls,Idaho,80.0,2.5,15.1,0.6,1.4,0.4,0.05,0.07
Fall-River,Massachusetts,76.2,3.7,11.3,6.3,1.9,0.7,0.7,
Ontario,California,15.0,2.0,71.4,4.0,6.7,0.2,0.07,0.6
Tupelo,Mississippi,54.4,0.5,4.1,39.1,0.8,0.3,0.9,
Christopher,Illinois,96.1,0.9,1.0,0.6,0.6,,,
Arnolds-Park,Iowa,7.1,,1.4,0.8,,,,
Cheyenne,Wyoming,78.2,2.9,15.0,1.3,1.3,1.1,,0.3
Cookeville,Tennessee,84.7,1.7,7.2,3.6,2.3,0.2,0.3,
Bristol,Connecticut,71.7,3.0,18.0,4.8,1.6,0.1,0.1,
Warwick,Rhode-Island,86.1,1.7,5.8,2.0,3.5,0.4,0.4,
Yuma,Arizona,32.6,1.8,60.1,2.2,2.0,1.1,0.05,0.1
Freehold,New-Jersey,39.4,0.9,50.1,8.8,1.4,,0.9,
Vienna,Virginia,65.4,5.1,9.9,2.5,15.2,0.2,0.5,
Box-Elder,Montana,0.2,,4.9,,,4.9,,
Indianapolis,Indiana,53.2,2.9,11.1,28.3,4.0,0.2,0.2,0.01
Alpine,Texas,49.1,0.9,47.5,0.1,1.9,,,
Levelland,Texas,39.0,0.7,54.2,4.5,0.4,0.5,0.3,0.1
Texico,New-Mexico,5.9,2.1,8.1,4.1,,,,
East-Providence,Rhode-Island,77.1,4.8,6.5,6.4,2.7,0.04,1.4,0.03
Redmond,Oregon,81.0,2.4,12.7,1.0,0.6,1.7,,0.5
Albany,New-York,51.6,8.5,10.6,22.6,6.4,0.1,0.2,
Fern-Park,Florida,59.6,0.1,28.7,9.0,2.4,,,
Santa-Fe-Springs,California,12.7,0.9,74.7,3.6,6.8,0.2,1.5,0.05
Charleston,South-Carolina,71.4,1.5,3.3,21.4,2.1,0.08,0.1,0.3
Toledo,Ohio,57.4,4.4,8.7,27.6,1.3,0.3,0.2,
Collegeville,Pennsylvania,80.0,2.2,2.4,9.3,5.6,0.1,0.04,
Ashland,Kentucky,92.1,3.4,1.4,1.9,0.8,0.08,0.08,
Atascadero,California,74.6,3.1,18.7,0.8,1.8,0.2,0.5,0.04
Boston,Massachusetts,44.9,2.6,19.7,22.2,9.6,0.2,0.7,0.08
College-Station,Texas,63.7,2.1,16.3,7.6,9.3,0.05,0.04,0.1
Mitchell,South-Dakota,88.5,2.6,3.6,1.6,0.8,2.3,0.1,
Rowlett,Texas,51.6,2.5,19.9,16.7,7.6,0.5,0.2,0.01
Pittsfield,Massachusetts,82.6,4.3,7.3,4.0,1.9,0.08,0.2,0.09
Dover,Delaware,38.5,4.9,8.1,45.8,2.1,0.9,0.5,0.05
Myrtle-Beach,South-Carolina,67.9,1.7,13.3,14.3,2.3,0.1,0.4,
Columbia,Maryland,44.6,4.4,9.9,27.6,13.0,0.4,0.8,0.04
Stamford,Connecticut,48.3,1.8,28.4,13.3,8.6,0.07,0.2,0.02
Hayward,California,14.6,4.7,39.2,9.2,29.2,0.3,0.2,2.6
El-Centro,California,7.8,0.4,87.9,1.3,2.1,0.2,0.01,0.2
Lecanto,Florida,85.6,0.9,5.2,5.8,0.4,0.7,0.07,
Madisonville,Tennessee,88.6,0.1,5.0,5.1,,1.0,,
Florence,South-Carolina,46.3,1.2,2.2,46.8,2.4,0.4,0.1,0.5
Suwanee,Georgia,54.6,2.4,5.8,12.6,21.6,0.8,0.6,
Burlington,Iowa,83.4,3.0,4.1,9.0,0.6,0.3,,
Erie,Pennsylvania,67.8,5.5,9.6,14.2,2.3,0.4,0.2,0.04
Sayre,Oklahoma,65.5,5.2,3.0,2.8,0.2,2.8,0.2,
Ambler,Pennsylvania,69.0,2.9,3.0,2.0,3.8,,,
Superior,Wisconsin,89.4,2.3,2.2,1.9,1.9,2.0,0.05,
Woodstock,Virginia,78.7,1.0,1.3,2.1,6.5,,,
Meadville,Pennsylvania,85.3,5.8,2.5,5.3,0.8,0.02,,
Zanesville,Ohio,82.4,5.8,2.4,7.4,0.6,0.6,0.8,
Show-Low,Arizona,75.7,1.4,19.8,0.4,0.2,1.9,,
Augusta,Georgia,44.1,1.3,2.2,50.6,1.4,0.2,0.2,0.07
Lamesa,Texas,30.8,0.4,65.4,3.3,0.1,0.2,,
Independence,Kentucky,93.1,1.0,1.2,2.6,1.7,0.1,0.04,
Elmira,New-York,72.3,6.1,5.5,14.2,0.6,0.7,0.3,0.01
Hattiesburg,Mississippi,40.3,2.1,3.2,53.3,1.1,0.2,0.01,
San-Francisco,California,39.8,4.1,15.2,5.2,34.6,0.3,0.4,0.4
Marlow-Heights,Maryland,3.0,1.9,7.1,86.0,0.6,0.4,0.05,0.5
Concord,New-Hampshire,85.6,2.0,3.1,3.5,4.6,0.5,0.5,
Marion,Arkansas,52.9,7.8,2.9,34.6,1.1,0.6,0.1,
Sheridan,Wyoming,90.1,1.4,6.3,0.2,0.4,1.3,,
Winston-Salem,North-Carolina,44.0,2.2,16.2,35.0,2.1,0.3,0.2,
Huntley,Illinois,78.8,1.4,10.8,2.6,6.1,,0.03,
Wilkes-Barre,Pennsylvania,58.9,4.7,24.3,13.2,1.8,0.2,0.02,0.08
London,Kentucky,92.1,2.2,1.0,1.7,2.2,0.3,0.2,
Barnesville,Ohio,96.5,0.9,,0.3,1.5,,,0.3
Menasha,Wisconsin,82.5,3.4,8.3,1.2,2.8,1.6,,0.2
Defiance,Ohio,78.6,1.8,15.9,3.0,0.3,0.7,0.05,0.03
Hazleton,Pennsylvania,36.9,0.4,67.7,2.8,0.3,0.03,0.3,
West-Columbia,South-Carolina,67.6,2.5,9.2,18.2,1.8,0.1,0.3,0.5
Lima,Ohio,61.9,6.4,4.9,25.6,0.8,0.3,0.4,
Elizabeth-City,North-Carolina,37.3,2.9,8.4,50.2,1.3,0.1,0.07,
Cotati,California,73.9,4.1,18.8,0.5,1.7,,0.2,0.4
Cleveland,Ohio,32.2,3.5,12.7,48.7,2.4,0.3,0.2,0.02
Spokane-Valley,Washington,85.0,3.6,6.7,0.7,2.1,0.5,,1.5
Middletown,Rhode-Island,84.6,2.7,4.7,4.2,3.0,0.2,0.4,0.1
Redwood-City,California,46.9,3.3,30.1,1.3,15.5,0.8,0.2,1.9
Durant,Oklahoma,66.4,6.9,8.8,2.2,0.9,14.6,0.04,0.2
Starkville,Mississippi,56.9,2.0,1.7,35.0,4.3,0.03,,0.03
Baton-Rouge,Louisiana,39.0,1.1,3.9,51.7,3.9,0.2,0.2,
Benton-City,Washington,62.7,1.5,34.0,,0.1,2.2,,
East-Chicago,Indiana,6.7,0.3,59.7,34.9,0.1,0.01,,0.03
Orlando,Florida,37.2,2.0,37.0,20.2,3.1,0.3,0.2,
Hot-Springs,Arkansas,67.5,3.6,9.6,17.3,1.0,0.9,0.04,
Dupont,Pennsylvania,87.3,2.3,9.1,0.07,,0.4,,
Rockford,Michigan,91.3,0.8,5.5,1.7,0.2,,,
Warren,Arkansas,34.7,0.1,21.9,44.0,0.1,,,
Tustin,California,33.1,3.2,40.2,1.9,21.0,0.3,0.3,
Russell-Springs,Kentucky,78.4,6.8,4.6,0.3,,,,
Hurley,New-Mexico,8.8,5.5,75.2,,,0.6,0.1,
Santa-Barbara,California,54.4,1.7,37.6,1.5,3.9,0.2,0.1,0.01
Eugene,Oregon,78.0,5.0,10.2,1.6,4.1,0.5,0.2,0.5
Dumas,Texas,34.9,1.2,53.4,3.1,7.0,0.5,0.2,
Hamilton,Texas,83.5,0.6,3.2,0.4,,0.7,,
Tyler,Texas,49.6,1.0,22.3,24.5,2.5,0.2,0.1,0.02
Prescott,Arizona,87.8,1.7,6.9,0.7,1.5,0.6,,0.07
San-Jacinto,California,29.8,2.4,56.4,6.7,3.5,1.0,0.2,0.03
Little-Rock,Arkansas,44.5,1.8,7.5,42.7,3.2,0.2,0.2,0.03
Grants-Pass,Oregon,83.8,3.4,9.6,0.7,1.2,0.9,0.09,
Tampa,Florida,43.1,2.3,28.4,21.0,4.9,0.09,0.2,0.1
Victoria,Texas,36.3,1.7,53.6,6.5,1.6,0.07,0.2,0.02
Lewiston,Idaho,90.9,1.9,4.2,0.4,0.8,1.4,0.02,
Pawtucket,Rhode-Island,46.2,4.4,26.1,14.9,3.1,0.2,5.1,
Folcroft,Pennsylvania,49.7,1.8,1.4,36.0,1.5,,0.2,3.0
Saginaw,Michigan,37.3,4.3,15.2,43.1,0.4,0.1,0.04,
White-Deer,Texas,8.7,0.5,9.3,,,,,
Schaumburg,Illinois,56.3,2.3,10.8,4.0,26.5,0.4,0.4,0.2
Wilmington,North-Carolina,71.0,2.3,6.5,18.0,1.4,0.2,0.2,0.1
Texline,Texas,8.2,4.6,1.8,,0.6,4.3,,
Kalispell,Montana,91.8,1.5,2.8,0.9,1.5,1.4,0.1,
Austin,Texas,48.8,2.8,32.5,7.4,8.1,0.3,0.1,
Milledgeville,Georgia,47.8,2.0,2.2,45.9,1.9,,0.04,
Hopatcong,New-Jersey,73.7,0.7,17.5,2.8,4.6,,,
Atlantic-Highlands,New-Jersey,93.4,0.3,5.6,,0.4,,,
Portage,Michigan,82.2,4.1,4.9,5.0,2.9,0.4,0.4,
Joplin,Missouri,83.0,4.3,5.2,3.2,2.4,1.7,0.2,0.09
Des-Moines,Iowa,65.8,1.7,13.1,13.2,5.8,0.3,0.03,
San-Jose,California,25.0,3.1,30.6,2.8,37.6,0.1,0.4,0.4
Tulsa,Oklahoma,54.3,6.3,17.2,14.4,3.1,4.5,0.2,0.1
Amarillo,Texas,53.0,1.2,34.0,6.7,4.6,0.5,,0.1
Cary,Illinois,82.4,2.6,11.1,2.0,1.5,,,
Waukegan,Illinois,19.4,2.0,49.7,20.4,6.7,,1.9,
Lady-Lake,Florida,81.9,1.7,8.2,3.3,1.6,0.09,3.1,
Bemidji,Minnesota,77.5,7.0,3.3,1.2,0.7,10.0,,
Newport,Rhode-Island,75.9,3.7,10.3,6.3,2.0,0.8,0.3,
Madison,Indiana,86.5,1.5,5.3,4.2,1.6,0.06,0.7,
Fort-Stockton,Texas,19.4,1.3,75.9,2.4,0.5,0.6,0.2,0.2
Hobbs,New-Mexico,30.4,1.3,60.7,5.6,1.1,1.0,0.3,0.01
Marshall,Minnesota,76.2,1.7,9.4,6.1,6.4,0.2,0.02,
Denison,Iowa,41.1,0.7,51.0,5.6,4.0,0.05,,
Fort-Pierce,Florida,32.6,2.0,23.9,38.3,0.9,0.4,0.3,0.4
Spartanburg,South-Carolina,43.2,1.4,5.0,47.7,2.6,0.6,0.01,0.02
Decorah,Iowa,91.9,0.5,2.5,3.2,1.4,0.2,,
Mountain-Home,Arkansas,93.7,1.2,4.1,0.07,0.4,0.06,,
Clarksville,Indiana,80.5,2.8,10.4,4.8,1.3,,0.05,
Florence,Alabama,73.0,1.4,4.2,19.9,0.9,0.3,0.1,0.1
Reston,Virginia,61.9,3.2,12.8,10.3,10.8,0.02,0.4,
Bristol,Virginia,87.1,3.1,2.4,5.8,0.2,,0.5,
Holyoke,Massachusetts,40.4,1.4,56.4,2.7,0.6,0.2,,
Fort-Smith,Arkansas,58.5,4.8,19.9,9.6,5.9,1.0,0.4,
Okeechobee,Florida,58.9,4.7,23.4,0.0,2.3,0.5,,
Paducah,Kentucky,71.1,2.0,3.2,21.9,0.9,0.6,0.1,0.2
Wallington,New-Jersey,71.9,0.8,15.9,3.8,6.4,0.06,0.08,
Walnut,California,10.3,2.3,20.3,4.2,62.9,0.05,0.08,0.3
Garberville,California,86.0,3.3,6.5,0.7,0.5,2.6,0.2,0.1
Aberdeen,Washington,68.9,5.1,18.1,0.7,1.5,4.7,,0.7
Markham,Illinois,8.5,1.1,10.0,77.9,0.9,0.5,,
Delmar,Delaware,71.3,3.6,1.1,0.3,3.0,,0.3,
Carthage,Missouri,60.2,4.0,33.2,1.4,0.7,0.9,,0.6
Phoenix,Arizona,41.4,2.5,43.2,6.9,3.9,1.7,0.2,0.3
Kingman,Arizona,75.7,3.6,15.4,1.3,1.3,2.2,0.3,0.01
Durham,North-Carolina,39.1,3.0,14.4,38.1,5.5,0.2,0.3,0.04
Las-Vegas,New-Mexico,15.0,0.7,81.0,1.2,0.9,1.7,,
Greenfield,Massachusetts,91.6,2.0,3.4,1.3,1.2,0.3,0.1,0.01
Key-West,Florida,58.5,1.3,24.5,13.3,2.0,0.09,,
Corpus-Christi,Texas,29.3,0.8,63.4,4.1,2.3,0.08,0.02,
El-Dorado,Arkansas,43.3,1.2,5.9,48.0,1.0,0.4,0.4,
Spencer,Iowa,92.4,2.4,3.1,0.4,0.9,,0.3,
Twentynine-Palms,California,52.1,5.1,24.0,9.5,3.7,0.9,,2.8
Felton,Delaware,4.7,4.3,3.8,6.8,0.1,,,
Wichita-Falls,Texas,61.1,2.3,21.6,12.0,2.2,0.6,0.2,0.1
West-Chicago,Illinois,35.9,0.9,54.0,1.9,8.3,,0.07,
Jersey-Shore,Pennsylvania,98.1,,0.8,,,,,
Corbin,Kentucky,94.0,2.3,2.7,0.2,,0.4,,
Kennewick,Washington,63.7,3.4,28.1,2.2,2.0,0.5,0.6,0.03
Vallejo,California,23.2,4.7,29.6,18.8,23.2,0.08,0.4,0.08
Wenatchee,Washington,58.7,3.5,34.8,1.1,0.6,1.3,,0.06
Sachse,Texas,53.4,3.3,17.1,10.0,14.8,0.7,,
Union-City,Tennessee,67.4,3.3,6.2,22.7,0.09,0.09,0.2,
Crockett,Texas,36.0,4.6,3.9,44.6,0.9,0.2,,
Coldwater,Michigan,81.0,1.4,7.5,7.4,1.7,1.1,,
West-Palm-Beach,Florida,37.1,1.3,25.2,34.5,1.2,,0.6,
Moses-Lake,Washington,54.3,1.7,40.1,1.5,1.7,1.0,,
Tallulah,Louisiana,19.5,,0.8,79.9,,,,
Gary,Indiana,11.7,1.0,8.3,78.2,0.3,0.2,0.2,0.01
Eatonton,Georgia,32.7,0.3,8.7,58.4,0.2,,,
Merlin,Oregon,95.2,3.1,0.9,,,,,
Stratford,Texas,6.0,0.3,51.5,1.8,,,,
Fargo,North-Dakota,81.9,3.3,3.2,7.0,3.3,1.1,0.07,0.07
Dickinson,North-Dakota,84.6,3.2,6.5,2.4,1.4,1.6,,1.3
Boone,North-Carolina,88.9,1.2,5.2,2.4,1.2,0.5,,0.04
Eden,Texas,2.1,0.3,65.8,0.6,0.7,0.5,,
Columbia,Missouri,74.2,4.3,3.8,10.9,6.5,0.3,0.2,0.1
Convoy,Ohio,93.6,1.8,4.1,,,,,
South-San-Francisco,California,19.8,2.0,28.4,1.9,45.3,0.3,,2.3
Green-Bay,Wisconsin,67.4,3.5,16.9,4.6,4.0,3.4,0.2,
Rockwall,Texas,69.7,2.1,17.4,6.0,3.2,0.3,0.3,0.1
Stockton,California,19.2,4.4,43.5,9.6,22.1,0.3,0.2,0.7
Pensacola,Florida,59.5,5.1,5.5,28.8,1.1,0.1,0.5,
Palm-Springs,California,58.6,1.9,27.4,4.3,5.0,0.6,0.2,0.3
Ames,Iowa,78.2,3.4,3.9,4.4,9.7,0.3,0.06,
Poplar-Bluff,Missouri,80.2,3.0,4.0,10.9,1.4,0.2,0.07,0.1
Bolton,Connecticut,93.3,1.2,3.0,0.9,1.4,0.08,0.04,
Silver-Spring,Maryland,32.4,3.0,28.7,29.1,7.2,0.3,0.3,
Bowling-Green,Kentucky,70.1,3.2,8.0,12.8,5.5,0.2,0.2,0.9
Pocola,Oklahoma,77.9,3.8,2.8,2.5,0.8,2.0,,
Pendleton,Oregon,75.2,3.7,12.2,0.9,2.1,2.5,3.4,0.6
Rogers,Arkansas,58.1,2.1,34.7,1.4,2.3,0.6,0.04,1.4
Grand-Rapids,Michigan,56.9,5.4,16.8,18.2,2.2,0.3,0.2,0.02
Weatherford,Oklahoma,72.8,5.3,15.2,3.5,0.9,2.1,,0.02
Gruver,Texas,9.7,0.3,9.5,,,0.6,,
New-London,Connecticut,44.4,4.7,35.1,14.2,2.4,0.06,0.7,0.1
Gladstone,Missouri,77.3,5.6,8.7,5.7,0.8,0.5,0.09,2.7
Columbia,Louisiana,8.0,,1.7,7.8,,2.4,,
Highlands-Ranch,Colorado,80.6,2.4,8.6,1.2,6.8,0.4,0.1,0.06
Lancaster,California,26.8,2.2,42.2,24.5,3.9,0.3,0.2,
Willmar,Minnesota,61.9,1.7,23.8,11.3,1.7,0.08,,
Louisville,Kentucky,61.9,1.5,1.9,32.8,1.4,0.2,0.2,0.04
Beaufort,South-Carolina,60.2,5.1,5.5,26.9,2.2,0.06,,
Claremont,New-Hampshire,93.9,1.6,2.4,1.6,0.4,,,
Robert-Lee,Texas,1.8,0.3,5.2,,,1.6,,
Oklahoma-City,Oklahoma,53.1,5.1,20.7,13.5,4.4,2.9,0.1,0.09
South-Sioux-City,Nebraska,36.7,1.2,50.2,7.7,3.7,1.7,0.4,
Hebron,Kentucky,96.2,0.7,1.1,1.2,0.6,0.1,0.07,
Fairmont,Minnesota,88.0,1.7,8.1,0.6,1.0,0.04,,
Killeen,Texas,25.9,4.7,26.9,36.7,4.1,0.7,0.02,1.1
Monterey,California,64.9,4.4,16.4,4.1,8.3,0.2,0.4,0.06
Harrisburg,Pennsylvania,23.7,2.2,23.4,47.4,5.4,0.08,0.05,0.02
Lafayette,Indiana,73.7,1.9,14.0,8.6,1.6,0.1,0.2,
Parkville,Maryland,54.3,2.0,5.4,35.3,2.6,0.1,0.4,0.08
Murphy,North-Carolina,81.4,1.9,3.8,7.2,2.3,2.3,0.4,
Leesburg,Virginia,60.1,3.4,18.1,8.5,8.3,0.4,0.4,0.03
Easton,Maryland,68.2,6.3,11.4,11.0,2.1,,0.2,
Poughkeepsie,New-York,40.3,5.0,17.3,39.1,0.9,0.2,0.1,0.08
West-Frankfort,Illinois,94.9,1.8,0.7,1.1,0.4,0.3,,
Muscatine,Iowa,72.3,1.8,21.2,4.5,0.7,0.2,0.1,0.02
Coffeyville,Kansas,68.7,4.9,10.7,8.7,0.8,5.9,0.3,
Lansing,Michigan,55.5,4.0,12.6,20.8,6.2,0.8,0.08,
Columbus,Indiana,75.2,2.4,6.6,2.2,13.7,0.3,0.7,0.1
Kansas-City,Kansas,37.1,2.6,31.2,22.9,5.7,0.5,0.04,0.07
Paris,Illinois,96.9,0.1,1.8,0.2,,,,
Darlington,South-Carolina,42.3,1.6,0.7,54.7,,0.08,,
Concord,California,44.5,4.5,32.7,4.0,13.6,0.3,0.2,0.08
Torrance,California,34.0,5.8,19.0,3.1,37.1,0.4,0.3,0.2
Sunny-Isles-Beach,Florida,58.8,1.1,36.6,1.8,1.3,0.07,0.3,
Shelbyville,Tennessee,56.9,2.7,24.7,15.1,,0.2,1.6,0.09
Anderson,South-Carolina,61.6,3.2,4.8,29.9,0.4,,0.03,0.07
Hollywood,Florida,37.1,3.2,36.8,21.0,1.7,,0.09,0.09
Marana,Arizona,61.8,3.6,26.0,2.8,4.8,0.5,0.08,0.3
Bangs,Texas,66.7,2.8,3.9,5.1,,0.4,,
Morehead-City,North-Carolina,77.2,2.5,7.5,9.8,2.4,0.3,,0.04
Minot,North-Dakota,80.3,5.7,6.5,3.8,2.4,1.1,0.2,0.3
Asheville,North-Carolina,77.2,1.8,7.0,11.2,1.7,0.4,0.05,0.2
Bridgeport,Ohio,84.9,2.4,,1.5,0.4,0.2,,
Wilmington,Delaware,28.4,1.8,10.7,58.4,1.2,0.2,0.6,0.03
Detroit,Michigan,10.6,1.3,8.3,77.4,1.7,0.6,0.1,
Pelham,New-Hampshire,94.7,0.9,1.9,0.5,1.7,0.1,0.2,0.01
Lincoln-Park,Michigan,66.1,2.8,22.4,8.1,0.6,0.6,0.1,
