city,state,total population 2019,percent urban 2019,percent rural 2019,median age,median income 2019,median house price 2019,median rent 2019,cost of living index,population density 2019
Bolton,Connecticut,4980.0,,,45.4,51857.0,304300.0,,104.2,346.0
Silver-Spring,Maryland,83247.0,100,0,35.0,45785.0,527300.0,1729.0,193.3,8835.0
Bowling-Green,Kentucky,70543.0,98,2,27.1,25730.0,183600.0,765.0,87.5,1992.0
Pocola,Oklahoma,4121.0,10,90,38.7,22170.0,104125.0,704.0,79.0,136.0
Pendleton,Oregon,16789.0,98,2,36.4,24816.0,201002.0,855.0,85.9,1670.0
Rogers,Arkansas,68669.0,98,2,32.2,35162.0,214100.0,878.0,82.8,2048.0
Grand-Rapids,Michigan,201013.0,100,0,31.4,26399.0,168300.0,995.0,86.1,4503.0
Weatherford,Oklahoma,12017.0,99,1,24.4,26076.0,182246.0,699.0,82.1,2071.0
Gruver,Texas,1135.0,0,100,26.7,21389.0,143939.0,879.0,80.3,1064.0
New-London,Connecticut,26858.0,100,0,32.0,26616.0,192210.0,995.0,107.3,4850.0
Gladstone,Missouri,27489.0,100,0,40.7,30027.0,161655.0,951.0,86.7,3438.0
Columbia,Louisiana,366.0,0,100,43.0,22015.0,71119.0,726.0,79.5,483.0
Highlands-Ranch,Colorado,99810.0,100,0,40.1,58214.0,519000.0,1910.0,110.6,4243.0
Lancaster,California,157601.0,99,1,33.5,22586.0,284100.0,1317.0,128.9,1677.0
Willmar,Minnesota,19869.0,100,0,34.1,25600.0,146544.0,816.0,77.3,1678.0
Louisville,Kentucky,262764.0,,,35.8,27635.0,150881.0,,93.4,4230.0
Beaufort,South-Carolina,13436.0,94,6,38.0,36506.0,230545.0,929.0,83.9,722.0
Claremont,New-Hampshire,12932.0,74,26,41.8,26743.0,143549.0,1013.0,87.8,300.0
Robert-Lee,Texas,1048.0,0,100,41.5,23969.0,68078.0,591.0,77.7,919.0
Oklahoma-City,Oklahoma,655057.0,94,6,34.6,31019.0,165700.0,874.0,85.3,1079.0
South-Sioux-City,Nebraska,12809.0,100,0,32.2,23739.0,128804.0,840.0,86.4,2612.0
Hebron,Kentucky,13050.0,,,33.0,40338.0,216684.0,,91.7,262.0
Fairmont,Minnesota,10030.0,90,10,44.5,30923.0,136297.0,645.0,75.7,689.0
Killeen,Texas,151666.0,98,2,29.4,24327.0,146200.0,884.0,84.5,4291.0
Monterey,California,28178.0,100,0,38.5,50409.0,913220.0,1988.0,115.3,3340.0
Port-St.-Lucie,Florida,201846.0,100,0,42.3,28924.0,244900.0,1413.0,90.4,2672.0
Harrisburg,Pennsylvania,49271.0,100,0,30.9,22605.0,81570.0,859.0,95.0,6075.0
Lafayette,Indiana,71721.0,100,0,34.4,27232.0,118800.0,861.0,87.8,3569.0
Parkville,Maryland,30734.0,,,35.4,32999.0,212539.0,1254.0,130.0,7261.0
Murphy,North-Carolina,1657.0,0,100,46.6,21976.0,181440.0,647.0,82.2,727.0
Leesburg,Virginia,53727.0,100,0,35.8,50840.0,475756.0,1629.0,164.6,4631.0
Easton,Maryland,16671.0,99,1,41.9,37400.0,292469.0,1103.0,82.9,1620.0
Poughkeepsie,New-York,30515.0,100,0,38.3,30707.0,202523.0,1140.0,136.2,5931.0
West-Frankfort,Illinois,7823.0,99,1,44.0,19958.0,67407.0,540.0,74.6,1648.0
Muscatine,Iowa,23631.0,99,1,36.4,27200.0,119121.0,876.0,78.2,1404.0
Coffeyville,Kansas,9275.0,98,2,37.0,23478.0,59951.0,622.0,73.4,1315.0
Lansing,Michigan,118210.0,100,0,33.3,24221.0,94200.0,797.0,83.8,3373.0
Columbus,Indiana,48046.0,98,2,35.5,35396.0,188396.0,948.0,87.8,1852.0
Kansas-City,Kansas,152960.0,95,5,33.4,22530.0,99700.0,930.0,86.2,1231.0
Paris,Illinois,8285.0,97,3,43.4,26138.0,80522.0,620.0,74.4,1721.0
Darlington,South-Carolina,5940.0,98,2,44.4,23842.0,133960.0,599.0,81.4,1384.0
Concord,California,129295.0,100,0,37.3,42821.0,604300.0,1982.0,146.4,4290.0
Torrance,California,143592.0,100,0,42.5,50815.0,835900.0,1876.0,143.5,6991.0
Sunny-Isles-Beach,Florida,16635.0,,,50.4,44367.0,303640.0,,121.6,16544.0
St.-Petersburg,Florida,265351.0,100,0,43.8,39621.0,242700.0,1178.0,95.7,4450.0
Shelbyville,Tennessee,22101.0,96,4,33.3,20057.0,142892.0,798.0,80.8,1429.0
Anderson,South-Carolina,27676.0,100,0,37.0,24828.0,154440.0,761.0,84.4,2000.0
Hollywood,Florida,154817.0,100,0,41.4,30675.0,292300.0,1349.0,115.7,5663.0
Marana,Arizona,49030.0,85,15,39.8,37762.0,289758.0,1209.0,90.7,675.0
Bangs,Texas,1527.0,0,100,42.5,20999.0,87130.0,550.0,77.7,1105.0
Morehead-City,North-Carolina,9619.0,100,0,48.1,34867.0,237822.0,814.0,85.0,1886.0
Minot,North-Dakota,47382.0,100,0,32.0,38007.0,215947.0,790.0,79.5,3256.0
Asheville,North-Carolina,92870.0,100,0,39.0,32635.0,329500.0,1100.0,94.3,2269.0
Bridgeport,Ohio,1728.0,91,9,44.3,21749.0,64222.0,777.0,87.7,1240.0
Wilmington,Delaware,70166.0,100,0,36.5,30845.0,174400.0,1021.0,100.9,6468.0
Detroit,Michigan,670031.0,100,0,35.0,21044.0,58900.0,866.0,87.6,4828.0
Pelham,New-Hampshire,12897.0,,,40.7,41713.0,374905.0,,127.6,488.0
Lincoln-Park,Michigan,36321.0,100,0,35.8,24163.0,87592.0,867.0,88.1,6205.0
Catasauqua,Pennsylvania,6599.0,100,0,36.4,28316.0,158165.0,974.0,99.1,5214.0
Raleigh,North-Carolina,474069.0,100,0,34.5,38494.0,274200.0,1163.0,94.8,4137.0
New-Orleans,Louisiana,390144.0,99,1,38.3,34034.0,242900.0,1010.0,97.5,2161.0
Greeneville,Tennessee,14891.0,99,1,42.6,24090.0,141647.0,596.0,79.2,1060.0
Salt-Lake-City,Utah,200567.0,100,0,32.9,39695.0,378300.0,1062.0,93.6,1839.0
Hillsdale,Illinois,505.0,0,100,39.5,27447.0,78390.0,655.0,86.4,670.0
Suitland,Maryland,25825.0,,,34.2,37618.0,334200.0,1391.0,163.3,
Pacheco,California,3685.0,,,46.1,39098.0,181624.0,1830.0,135.7,5047.0
Lakeland,Florida,112136.0,98,2,39.7,27119.0,180500.0,1010.0,86.9,2446.0
Huron,South-Dakota,13380.0,99,1,35.1,24865.0,101744.0,630.0,76.2,1630.0
Bellingham,Washington,92314.0,100,0,35.6,32848.0,432400.0,1163.0,102.3,3600.0
Elmwood-Park,Illinois,24098.0,100,0,40.3,31805.0,273484.0,1142.0,107.0,12643.0
Cave-Junction,Oregon,1977.0,0,100,40.3,16773.0,184802.0,1002.0,90.6,1202.0
Evanston,Illinois,73473.0,100,0,35.1,55227.0,395500.0,1244.0,108.6,9485.0
Duluth,Minnesota,85618.0,98,2,34.5,33273.0,170400.0,850.0,97.1,1259.0
Crete,Illinois,8023.0,99,1,47.3,37083.0,185663.0,1046.0,102.7,1258.0
Watertown,South-Dakota,22174.0,98,2,38.5,29632.0,188764.0,782.0,80.3,1456.0
Decherd,Tennessee,2371.0,89,11,38.2,20091.0,105017.0,771.0,79.7,508.0
Toms-River,New-Jersey,91785.0,100,0,43.5,38107.0,296800.0,1473.0,118.8,2331.0
Melbourne-Beach,Florida,3298.0,100,0,51.2,49148.0,428147.0,2085.0,95.0,3208.0
Newark,New-Jersey,282011.0,100,0,34.6,19805.0,270600.0,1129.0,119.1,11851.0
Hamlin,Texas,2021.0,0,100,35.9,28139.0,62734.0,738.0,77.6,380.0
Cullman,Alabama,16034.0,97,3,39.4,26953.0,152794.0,758.0,80.4,876.0
Newport,Arkansas,7474.0,94,6,37.7,16735.0,77265.0,597.0,78.2,573.0
Canton,Ohio,70447.0,100,0,38.3,18920.0,77900.0,636.0,89.1,3429.0
Allentown,Pennsylvania,121442.0,100,0,31.2,18854.0,144000.0,1057.0,100.3,6846.0
Martinsville,Virginia,12554.0,100,0,41.2,23625.0,92742.0,666.0,76.2,1146.0
Fort-Worth,Texas,909585.0,99,1,32.8,30115.0,209400.0,1110.0,94.8,3109.0
Millville,New-Jersey,27391.0,89,11,41.0,35671.0,161348.0,1067.0,99.2,647.0
Lafayette,Colorado,30687.0,100,0,39.7,51747.0,502361.0,1637.0,115.3,3467.0
State-College,Pennsylvania,42160.0,100,0,22.3,19529.0,347643.0,1048.0,104.7,9283.0
Flagstaff,Arizona,75038.0,97,3,25.8,28996.0,395300.0,1387.0,100.4,1180.0
Newport,North-Carolina,4591.0,98,2,43.7,27778.0,154183.0,864.0,80.8,625.0
West-Portsmouth,Ohio,3149.0,,,39.3,19674.0,83206.0,678.0,75.8,663.0
Astoria,Oregon,10015.0,97,3,45.2,32737.0,294856.0,969.0,92.8,1630.0
South-Lake-Tahoe,California,22197.0,98,2,37.1,33232.0,439590.0,1058.0,106.0,2207.0
Montoursville,Pennsylvania,4399.0,100,0,42.0,30724.0,173016.0,871.0,93.0,1088.0
Rumford,Maine,4218.0,,,55.6,25201.0,82138.0,581.0,84.0,535.0
Jacksonville,Florida,911507.0,97,3,36.1,30780.0,200200.0,1099.0,88.0,1203.0
Madison,Wisconsin,259680.0,100,0,31.7,40834.0,275900.0,1155.0,98.0,3781.0
Wynne,Arkansas,7749.0,90,10,39.2,26363.0,95809.0,725.0,79.2,950.0
Waco,Texas,139236.0,98,2,28.9,21918.0,145500.0,879.0,84.8,1654.0
Florence,Kentucky,33004.0,100,0,38.2,30925.0,153214.0,940.0,88.0,3343.0
Williamsport,Pennsylvania,28186.0,100,0,33.1,25390.0,114963.0,731.0,91.9,3173.0
Greencastle,Indiana,10270.0,98,2,26.9,22423.0,116367.0,766.0,86.6,1938.0
Belfast,Maine,6679.0,56,44,47.3,34167.0,200605.0,905.0,89.8,196.0
Laramie,Wyoming,32711.0,100,0,26.2,26836.0,230720.0,766.0,87.3,2937.0
Moundsville,West-Virginia,8252.0,99,1,49.1,22563.0,84490.0,598.0,89.6,2805.0
Lake-City,Florida,12352.0,99,1,36.1,22579.0,139046.0,781.0,80.2,1169.0
Surfside-Beach,South-Carolina,4525.0,100,0,56.0,38059.0,297887.0,1105.0,92.3,2339.0
Franklin-Park,Illinois,17627.0,100,0,39.5,28009.0,216031.0,899.0,104.4,3784.0
El-Sobrante,California,12669.0,,,40.9,42681.0,546520.0,1738.0,145.2,4085.0
Bluefield,Virginia,4837.0,98,2,46.0,33175.0,124466.0,692.0,77.0,638.0
Richland,Washington,58225.0,99,1,37.2,42326.0,308199.0,1137.0,94.7,1672.0
Christiansburg,Virginia,22473.0,98,2,40.2,34445.0,207402.0,913.0,86.5,1614.0
Springfield,Ohio,58877.0,100,0,35.9,21832.0,82656.0,720.0,91.7,2620.0
Lake-Charles,Louisiana,78396.0,99,1,37.6,30607.0,155600.0,830.0,85.9,1952.0
Nutley,New-Jersey,26562.0,,,39.3,45120.0,400613.0,,127.9,7886.0
Bear,Delaware,19371.0,,,36.8,33573.0,219188.0,1351.0,100.8,3373.0
Laurens,South-Carolina,8849.0,93,7,41.3,27162.0,108236.0,687.0,84.2,836.0
Wichita,Kansas,389938.0,100,0,35.3,30315.0,146700.0,833.0,81.8,2872.0
Carbondale,Illinois,25083.0,99,1,24.7,20798.0,126320.0,721.0,80.5,2109.0
Anderson,Indiana,54765.0,99,1,38.6,23052.0,81291.0,783.0,84.2,1368.0
Niceville,Florida,15972.0,100,0,38.9,38786.0,262669.0,1139.0,88.6,1462.0
Indianola,Mississippi,9037.0,97,3,34.9,17558.0,82307.0,690.0,78.7,1049.0
Chino-Valley,Arizona,12375.0,75,25,52.7,29621.0,262283.0,928.0,93.1,666.0
Grand-Junction,Colorado,63597.0,100,0,37.3,33259.0,273971.0,952.0,93.8,2064.0
Springdale,Arkansas,81125.0,97,3,31.1,22596.0,163100.0,780.0,82.3,2592.0
Grayville,Illinois,1565.0,0,100,42.7,25978.0,69664.0,465.0,85.9,1051.0
Naperville,Illinois,148449.0,100,0,40.5,59115.0,423000.0,1620.0,106.2,4196.0
Clinton,Oklahoma,9087.0,92,8,36.2,25094.0,113151.0,816.0,80.1,1018.0
Jacksonville,North-Carolina,72436.0,100,0,23.3,25863.0,164800.0,909.0,88.6,1629.0
Geneseo,Illinois,6495.0,99,1,43.6,33028.0,155777.0,733.0,86.1,1611.0
Manchester,Tennessee,11038.0,96,4,35.5,26972.0,148860.0,737.0,79.2,1001.0
Walla-Walla,Washington,32900.0,100,0,35.9,27313.0,232674.0,1039.0,88.8,3042.0
Struthers,Ohio,10111.0,100,0,38.7,22158.0,73420.0,704.0,89.2,2709.0
Richardson,Texas,121323.0,100,0,35.0,40723.0,330700.0,1531.0,96.4,4247.0
Haskell,Texas,3153.0,89,11,38.2,18926.0,71447.0,511.0,74.5,927.0
Independence,Missouri,116672.0,99,1,36.8,25341.0,129100.0,873.0,86.1,1490.0
Shiprock,New-Mexico,8295.0,,,34.2,14516.0,84239.0,479.0,83.9,522.0
Topeka,Kansas,125310.0,100,0,39.1,28704.0,105100.0,824.0,81.4,2237.0
Concordia,Missouri,2366.0,0,100,37.3,27419.0,113603.0,620.0,75.9,1408.0
Bristol,Tennessee,26987.0,95,5,42.8,26890.0,148539.0,662.0,80.9,920.0
Brea,California,43255.0,99,1,40.0,45312.0,704926.0,1925.0,87.5,4102.0
Kingston,Tennessee,5994.0,96,4,44.8,30175.0,192359.0,757.0,80.7,915.0
Dallas,Texas,1343573.0,100,0,32.9,36288.0,231400.0,1128.0,95.7,3922.0
Jamestown,North-Dakota,15084.0,98,2,38.2,29421.0,153388.0,661.0,77.8,1211.0
Traverse-City,Michigan,15738.0,100,0,41.5,40124.0,302790.0,974.0,86.4,1872.0
Decatur,Arkansas,1790.0,0,100,28.1,16737.0,98651.0,580.0,78.1,781.0
St.-Louis,Missouri,300576.0,100,0,36.4,31819.0,150700.0,828.0,88.4,4854.0
Aspermont,Texas,835.0,0,100,42.8,24190.0,67265.0,554.0,77.3,403.0
Cleveland,Oklahoma,3125.0,97,3,40.8,24970.0,93164.0,723.0,80.7,1204.0
Sioux-City,Iowa,82651.0,96,4,35.1,25240.0,120200.0,812.0,86.3,1508.0
Steeleville,Illinois,1925.0,99,1,39.3,28959.0,98368.0,699.0,75.4,1476.0
Fairmont,West-Virginia,18388.0,100,0,34.1,24027.0,115536.0,756.0,82.4,2348.0
Springfield,Oregon,63230.0,100,0,36.2,25883.0,228110.0,971.0,96.7,4390.0
Eau-Claire,Wisconsin,68802.0,99,1,32.2,30103.0,175300.0,820.0,90.7,2272.0
Pocatello,Idaho,56637.0,100,0,33.2,24376.0,160149.0,637.0,87.1,2006.0
Long-Branch,New-Jersey,30241.0,100,0,37.1,36112.0,382242.0,1326.0,122.9,5798.0
Absecon,New-Jersey,8818.0,97,3,46.1,40174.0,188666.0,1396.0,101.4,1542.0
Bartlett,Illinois,40647.0,100,0,40.1,44305.0,295957.0,1602.0,105.5,2744.0
La-Habra,California,60513.0,100,0,36.5,31658.0,575554.0,1632.0,87.5,8256.0
Tucumcari,New-Mexico,4867.0,97,3,38.8,16572.0,55093.0,557.0,78.4,645.0
Logan,New-Mexico,979.0,0,100,59.9,29687.0,88972.0,701.0,84.3,123.0
Belleville,Illinois,40897.0,100,0,37.2,28548.0,102558.0,704.0,89.2,2169.0
Tallahassee,Florida,194500.0,100,0,26.8,27203.0,219700.0,1024.0,89.6,2032.0
San-Luis,Arizona,34778.0,93,7,30.4,13722.0,127681.0,663.0,87.8,1315.0
Biloxi,Mississippi,46212.0,91,9,36.8,27006.0,175023.0,873.0,87.0,1215.0
Truth-or-Consequences,New-Mexico,5753.0,93,7,52.6,24089.0,90028.0,494.0,81.2,455.0
Oak-Grove,Missouri,8258.0,95,5,34.2,25744.0,149687.0,886.0,86.0,1701.0
Bowie,Maryland,58643.0,100,0,43.5,49821.0,373161.0,1880.0,165.0,3642.0
Stamford,Texas,2941.0,91,9,41.0,21382.0,65406.0,669.0,80.3,494.0
Kennett,Missouri,10094.0,99,1,41.9,26023.0,97893.0,575.0,74.2,1516.0
Henderson,Nevada,320189.0,98,2,43.7,44274.0,371500.0,1388.0,98.6,4018.0
Atlanta,Illinois,1600.0,0,100,38.2,25518.0,102454.0,752.0,87.4,1272.0
Durham,New-Hampshire,10345.0,,,20.6,18033.0,385876.0,962.0,136.4,3896.0
Texarkana,Texas,36317.0,100,0,36.3,28872.0,143726.0,800.0,79.9,1417.0
Ocean-City,Maryland,6944.0,100,0,56.8,43581.0,315284.0,1046.0,89.2,1524.0
Amherst,Ohio,12219.0,100,0,47.8,37581.0,179365.0,759.0,93.5,1705.0
Collinsville,Illinois,24395.0,98,2,39.4,34362.0,134341.0,886.0,90.1,1794.0
Centerville,Georgia,7884.0,100,0,36.7,29422.0,156848.0,1021.0,90.6,2813.0
Rock-Hill,South-Carolina,75048.0,99,1,36.1,32610.0,176800.0,1058.0,91.5,2419.0
Valdese,North-Carolina,4420.0,92,8,48.0,26339.0,139450.0,547.0,84.4,812.0
Titusville,Florida,46580.0,99,1,45.2,26464.0,167187.0,1004.0,89.1,2191.0
Columbus,Ohio,898553.0,100,0,32.4,31843.0,173300.0,984.0,95.4,4273.0
San-Bernardino,California,215784.0,100,0,31.1,20232.0,285000.0,1103.0,82.0,3669.0
Tacoma,Washington,217827.0,100,0,35.9,35796.0,344500.0,1273.0,114.5,4350.0
Dalton,Massachusetts,6756.0,,,44.7,39839.0,225306.0,,111.3,310.0
Muskogee,Oklahoma,37113.0,95,5,36.6,22939.0,85479.0,690.0,78.3,994.0
Chadron,Nebraska,5412.0,93,7,28.5,25069.0,140998.0,750.0,77.8,1492.0
Carlsbad,New-Mexico,29810.0,98,2,35.6,31510.0,149132.0,1015.0,84.1,1051.0
Ashland,Oregon,21281.0,100,0,46.0,39855.0,502754.0,1149.0,102.5,3274.0
Aurora,Illinois,197757.0,100,0,35.3,32650.0,211400.0,1145.0,104.0,5133.0
Atlantic-City,New-Jersey,37743.0,100,0,36.6,22225.0,154543.0,900.0,103.0,3325.0
Harrisburg,Illinois,8513.0,98,2,39.5,20691.0,75039.0,575.0,74.7,1364.0
Prescott-Valley,Arizona,46515.0,95,5,47.2,27135.0,261825.0,1052.0,93.1,1466.0
Riverside,California,331360.0,100,0,31.1,25953.0,411000.0,1504.0,82.1,4243.0
Dallas,Georgia,13981.0,100,0,33.7,20719.0,186120.0,1174.0,95.9,3099.0
Wyoming,Michigan,75667.0,100,0,34.2,26389.0,155100.0,898.0,85.3,3098.0
Youngstown,Ohio,65469.0,100,0,39.4,17661.0,50200.0,674.0,88.8,1931.0
Cleveland,Texas,8238.0,99,1,32.7,19246.0,115263.0,593.0,91.1,1712.0
Wildwood,New-Jersey,4948.0,100,0,48.7,39049.0,253410.0,1205.0,102.9,3834.0
Attleboro,Massachusetts,45237.0,100,0,41.5,39025.0,321623.0,1127.0,132.8,1644.0
Swansboro,North-Carolina,3344.0,100,0,41.5,28519.0,212815.0,1000.0,89.8,2739.0
Longview,Texas,81631.0,100,0,34.4,29017.0,147200.0,839.0,82.6,1493.0
Augusta,Maine,18697.0,73,27,46.8,30128.0,153793.0,744.0,88.2,338.0
Las-Cruces,New-Mexico,103432.0,98,2,30.5,22849.0,165300.0,791.0,85.2,1986.0
Irvine,California,287401.0,100,0,33.0,52045.0,933600.0,2480.0,89.3,6223.0
Somerdale,New-Jersey,5477.0,100,0,43.2,37196.0,177999.0,918.0,99.1,3986.0
Wisconsin-Rapids,Wisconsin,17610.0,98,2,41.3,24600.0,90478.0,765.0,76.6,1328.0
Butte,Montana,31633.0,,,38.8,28875.0,162503.0,,94.3,184.0
Lake-Orion,Michigan,3189.0,100,0,41.8,50773.0,293698.0,749.0,89.6,4200.0
New-Bedford,Massachusetts,95363.0,100,0,35.8,26278.0,243300.0,897.0,133.4,4739.0
South-Plainfield,New-Jersey,24052.0,100,0,41.1,39062.0,354931.0,1769.0,121.5,2878.0
Akron,Ohio,197597.0,100,0,38.0,27593.0,86600.0,770.0,95.6,3184.0
New-Berlin,Illinois,1333.0,0,100,37.2,31184.0,149622.0,767.0,87.7,1203.0
Tye,Texas,1333.0,33,67,40.9,19640.0,80571.0,832.0,78.5,286.0
Chattanooga,Tennessee,182799.0,98,2,37.6,31810.0,198300.0,907.0,89.2,1352.0
Medford,Oregon,83072.0,100,0,39.6,29367.0,312400.0,1000.0,98.6,3828.0
Iowa-City,Iowa,75130.0,100,0,28.4,34479.0,243500.0,1031.0,92.3,3109.0
Port-Angeles,Washington,20229.0,99,1,39.7,26679.0,239084.0,932.0,89.4,2005.0
Frederick,Maryland,72244.0,100,0,36.9,41129.0,274600.0,1397.0,173.2,3538.0
Springfield,Massachusetts,153606.0,100,0,32.1,22684.0,165800.0,936.0,120.2,4785.0
Red-Bank,New-Jersey,11966.0,100,0,35.8,54677.0,426542.0,1597.0,123.6,6707.0
Quincy,Illinois,39949.0,100,0,40.9,28955.0,111932.0,798.0,77.2,2733.0
Glassboro,New-Jersey,20288.0,99,1,28.3,28966.0,205662.0,1244.0,100.1,2204.0
Waterville,Maine,16558.0,99,1,40.3,27982.0,132763.0,750.0,87.8,1219.0
Harrison,Arkansas,13080.0,99,1,36.9,23496.0,125649.0,617.0,79.3,1278.0
Gulfport,Mississippi,71705.0,99,1,34.6,20187.0,123800.0,905.0,87.0,1260.0
Bergenfield,New-Jersey,27327.0,100,0,39.8,41327.0,365677.0,1511.0,119.2,9438.0
Chicopee,Massachusetts,55126.0,100,0,39.8,30803.0,196472.0,941.0,120.9,2410.0
Gaston,North-Carolina,1020.0,96,4,44.3,17240.0,69440.0,875.0,79.7,603.0
South-Charleston,West-Virginia,12047.0,100,0,41.9,33148.0,124078.0,669.0,84.7,1622.0
Carson-City,Nevada,55916.0,95,5,42.8,33566.0,324799.0,991.0,95.1,390.0
Milton,Georgia,39587.0,95,5,39.3,52964.0,357500.0,1493.0,97.7,
Council-Bluffs,Iowa,62166.0,98,2,38.9,26407.0,124739.0,852.0,89.1,1663.0
Throop,Pennsylvania,3896.0,100,0,39.4,28490.0,114457.0,801.0,94.2,774.0
Hampton,Virginia,134510.0,100,0,35.7,31654.0,193500.0,1100.0,96.0,2598.0
La-Grande,Oregon,13614.0,100,0,33.5,25954.0,193656.0,842.0,87.3,3129.0
Madras,Oregon,7051.0,97,3,35.4,20964.0,207285.0,870.0,90.5,3231.0
Waterbury,Connecticut,107568.0,100,0,34.9,24051.0,132300.0,956.0,126.8,3765.0
Portland,Maine,66215.0,96,4,37.2,42243.0,334200.0,1245.0,104.5,3122.0
Johnson-City,Tennessee,66906.0,99,1,34.7,32681.0,170000.0,754.0,82.7,1704.0
Easthampton,Massachusetts,16324.0,,,38.6,36232.0,249832.0,,113.3,1217.0
Georgetown,Delaware,7563.0,93,7,32.8,26892.0,231131.0,854.0,82.5,1831.0
Clovis,New-Mexico,38319.0,100,0,32.0,23062.0,132561.0,824.0,83.4,1711.0
Newark,California,49149.0,100,0,37.5,46191.0,850912.0,2511.0,153.2,3517.0
Honolulu,Hawaii,374701.0,,,39.7,42295.0,854723.0,,199.5,4372.0
Corinth,Mississippi,14472.0,80,20,39.6,27066.0,132832.0,592.0,79.2,475.0
Lufkin,Texas,35021.0,98,2,33.2,24345.0,107790.0,834.0,77.7,1312.0
Roebuck,South-Carolina,2200.0,,,46.0,26458.0,174410.0,922.0,83.9,515.0
Altus,Oklahoma,18338.0,99,1,33.2,25897.0,115193.0,744.0,79.5,1089.0
Philadelphia,Pennsylvania,1584064.0,100,0,34.7,29766.0,183200.0,1079.0,103.6,11726.0
Seattle,Washington,753675.0,100,0,34.7,65205.0,767000.0,1744.0,124.5,8986.0
San-Angelo,Texas,101004.0,98,2,35.3,28959.0,149500.0,969.0,84.3,1807.0
Milwaukee,Wisconsin,590157.0,100,0,31.5,23896.0,133600.0,865.0,97.3,6143.0
Nacogdoches,Texas,32877.0,98,2,24.9,22458.0,148978.0,686.0,79.9,1303.0
Mill-Valley,California,14259.0,100,0,49.2,124176.0,1000000.0,2299.0,171.4,3023.0
Allentown,New-Jersey,1775.0,100,0,40.2,52380.0,337732.0,1243.0,117.1,2921.0
Cameron,Missouri,9649.0,96,4,37.8,16638.0,120977.0,797.0,85.5,1812.0
Trenton,Georgia,2151.0,90,10,43.1,19019.0,137033.0,725.0,88.8,701.0
Woodward,Oklahoma,12121.0,94,6,35.4,28614.0,126583.0,804.0,80.2,924.0
Carbondale,Colorado,6898.0,99,1,37.3,39256.0,570463.0,1881.0,97.3,3430.0
Columbus,Nebraska,23468.0,98,2,36.8,30009.0,161283.0,786.0,77.2,2616.0
Miami-Beach,Florida,88885.0,100,0,40.5,52731.0,452800.0,1435.0,118.0,12637.0
St.-George,Utah,89587.0,92,8,33.5,29108.0,329100.0,1030.0,88.6,1391.0
Scranton,Pennsylvania,76653.0,99,1,38.2,25825.0,103600.0,790.0,93.9,3039.0
Spearfish,South-Dakota,11756.0,91,9,36.8,33768.0,235485.0,785.0,82.3,1925.0
Beacon-Falls,Connecticut,6049.0,,,41.5,39491.0,255130.0,,136.5,619.0
Highland,Indiana,22316.0,100,0,42.9,35527.0,175755.0,1119.0,96.7,3249.0
Caribou,Maine,7593.0,51,49,48.6,26130.0,85509.0,607.0,83.9,96.0
Marfa,Texas,1625.0,0,100,43.4,23965.0,195288.0,747.0,82.0,1038.0
Anchorage,Alaska,288000.0,95,5,34.2,41422.0,314600.0,1230.0,102.9,170.0
Bentonville,Arkansas,54909.0,94,6,32.9,42929.0,261643.0,946.0,83.0,2585.0
Levittown,New-York,51881.0,,,42.2,44988.0,462089.0,1998.0,152.0,7545.0
Blacksburg,Virginia,44233.0,99,1,22.8,23134.0,325730.0,1111.0,89.8,2285.0
Lynchburg,Virginia,82168.0,97,3,28.2,24539.0,170500.0,886.0,84.0,1664.0
Manchester,Connecticut,58241.0,,,36.9,41232.0,209836.0,,110.0,2137.0
Fruitland-Park,Florida,10730.0,86,14,51.9,34497.0,281539.0,1021.0,133.9,3678.0
Paterson,New-Jersey,145233.0,100,0,32.4,19029.0,266000.0,1232.0,120.9,17203.0
Albuquerque,New-Mexico,560513.0,100,0,37.3,32216.0,211800.0,905.0,93.0,3103.0
Beach-Park,Illinois,13701.0,100,0,37.7,30162.0,156194.0,1498.0,99.4,2134.0
Janesville,Wisconsin,64575.0,99,1,40.5,30593.0,158680.0,896.0,93.2,2345.0
Jackson,Tennessee,67191.0,99,1,34.8,22883.0,117700.0,898.0,85.2,1358.0
Grandview,Missouri,24856.0,100,0,34.7,25417.0,120683.0,852.0,85.7,1688.0
Melbourne,Arkansas,1868.0,0,100,46.4,22920.0,84832.0,511.0,77.4,299.0
Valdosta,Georgia,56457.0,99,1,28.3,22815.0,119374.0,810.0,88.3,1886.0
Meadow,Utah,328.0,0,100,44.7,23755.0,232429.0,661.0,83.1,663.0
Merced,California,83676.0,100,0,30.1,21137.0,268100.0,1111.0,94.1,4213.0
Billings,Montana,109577.0,99,1,37.6,35854.0,232700.0,877.0,89.3,3250.0
Fort-Myers,Florida,87103.0,97,3,37.9,30449.0,263700.0,1107.0,92.6,2737.0
Greenville,Mississippi,29085.0,98,2,37.7,20267.0,84353.0,691.0,79.2,1082.0
Hilo,Hawaii,43263.0,,,40.8,31619.0,358358.0,1075.0,94.3,797.0
Millinocket,Maine,4466.0,,,58.4,30393.0,64727.0,517.0,93.6,822.0
Portland,Oregon,654741.0,100,0,37.5,45035.0,445200.0,1312.0,105.9,4874.0
Bellmawr,New-Jersey,11359.0,100,0,41.6,30989.0,175076.0,924.0,99.7,3748.0
Lubbock,Texas,258862.0,99,1,29.8,28079.0,152800.0,976.0,84.2,2255.0
