city,state,total population 2019,percent urban 2019,percent rural 2019,median age,median income 2019,median house price 2019,median rent 2019,cost of living index,population density 2019
Laredo,Texas,262491.0,100,0,29.2,20543.0,148100.0,860.0,82.6,3346.0
Kapaa,Hawaii,10699.0,,,41.1,35273.0,593077.0,1339.0,102.2,1097.0
Las-Vegas,Nevada,651319.0,100,0,36.8,31292.0,305900.0,1141.0,98.2,5748.0
Trenton,New-Jersey,83203.0,100,0,34.5,19180.0,97600.0,1002.0,110.4,10866.0
Hillsdale,New-Jersey,10307.0,100,0,43.7,61031.0,578018.0,1495.0,119.2,3457.0
North-Miami,Florida,62822.0,100,0,36.5,22082.0,231213.0,1242.0,110.3,7428.0
Shepherd,Texas,2413.0,0,100,30.7,18616.0,117917.0,612.0,78.8,395.0
Sacramento,California,513624.0,100,0,34.8,34659.0,380600.0,1370.0,102.1,5286.0
Bridgeport,Connecticut,144399.0,100,0,33.9,22506.0,194800.0,1130.0,131.5,9025.0
Endicott,New-York,12532.0,100,0,38.4,23409.0,89055.0,719.0,100.2,3995.0
Newark,Delaware,33515.0,100,0,25.3,29622.0,290369.0,1270.0,102.4,3755.0
Peoria,Illinois,110417.0,100,0,36.5,34013.0,124600.0,759.0,85.2,2487.0
Olympia,Washington,52882.0,100,0,39.0,37041.0,343860.0,1179.0,111.7,3165.0
Somerton,Arizona,16554.0,97,3,27.9,14593.0,138121.0,741.0,88.1,12492.0
Cleveland,Tennessee,45504.0,100,0,35.2,24993.0,176080.0,768.0,83.6,1824.0
Washburn,Maine,1687.0,,,44.4,24145.0,82645.0,,87.3,49.0
Guymon,Oklahoma,10996.0,97,3,31.0,20307.0,134213.0,848.0,81.3,1505.0
Lemon-Grove,California,26811.0,100,0,36.2,26314.0,474610.0,1413.0,136.5,7055.0
Omaha,Nebraska,478192.0,100,0,34.6,33786.0,175800.0,940.0,89.2,4133.0
Edinburg,Texas,101170.0,99,1,29.1,21200.0,128500.0,854.0,82.1,2707.0
North-Platte,Nebraska,23639.0,100,0,39.1,29199.0,131797.0,780.0,77.0,2259.0
Encinitas,California,62709.0,100,0,44.3,69506.0,1000000.0,2099.0,142.1,3281.0
Clarkston,Georgia,12637.0,100,0,28.2,16219.0,143763.0,1103.0,96.3,11982.0
Batesville,Mississippi,7218.0,90,10,31.7,22282.0,146945.0,760.0,79.8,648.0
Hayward,Wisconsin,2311.0,94,6,33.0,21537.0,137035.0,674.0,78.3,778.0
Louisville,Tennessee,4141.0,24,76,51.0,46366.0,245759.0,946.0,80.5,358.0
Fairview,Tennessee,9146.0,80,20,39.0,28699.0,245823.0,1148.0,88.7,648.0
San-Antonio,Texas,1547253.0,100,0,34.4,26826.0,171100.0,1029.0,87.5,3796.0
Lowell,Massachusetts,110997.0,100,0,36.2,32242.0,293900.0,1245.0,136.3,8059.0
Chesapeake-City,Maryland,691.0,52,48,50.2,44955.0,287021.0,911.0,101.0,1223.0
Brady,Texas,5302.0,92,8,39.6,22592.0,98283.0,765.0,77.6,577.0
Idaho-Falls,Idaho,62888.0,100,0,33.8,29952.0,192734.0,764.0,88.1,3685.0
Fall-River,Massachusetts,89541.0,99,1,39.2,24039.0,259600.0,838.0,134.8,2886.0
Ontario,California,185010.0,99,1,32.1,25143.0,435500.0,1577.0,82.7,3716.0
Tupelo,Mississippi,38312.0,97,3,36.6,29333.0,157798.0,825.0,81.0,750.0
Christopher,Illinois,2717.0,95,5,36.9,21530.0,70309.0,686.0,75.6,1927.0
Arnolds-Park,Iowa,1313.0,90,10,59.3,40112.0,241898.0,864.0,82.6,1013.0
Cheyenne,Wyoming,64235.0,99,1,37.2,40296.0,251255.0,810.0,83.5,3043.0
Cookeville,Tennessee,34706.0,95,5,30.7,23593.0,180696.0,760.0,81.4,1588.0
Bristol,Connecticut,59947.0,100,0,40.4,37054.0,200020.0,1025.0,104.6,2262.0
Warwick,Rhode-Island,81004.0,100,0,44.7,41109.0,247500.0,1179.0,92.4,2282.0
Yuma,Arizona,98285.0,99,1,30.6,23716.0,163900.0,924.0,89.0,922.0
Freehold,New-Jersey,11682.0,100,0,36.1,31583.0,307777.0,1475.0,120.7,5855.0
Vienna,Virginia,16485.0,100,0,41.7,72553.0,774001.0,2102.0,170.5,3711.0
Box-Elder,Montana,87.0,,,49.5,19413.0,73353.0,266.0,84.1,15.0
Indianapolis,Indiana,876384.0,99,1,34.3,29008.0,155400.0,908.0,87.8,2424.0
Alpine,Texas,5982.0,98,2,40.9,28251.0,173796.0,723.0,80.7,1464.0
Levelland,Texas,13502.0,98,2,33.4,24181.0,114199.0,692.0,77.7,1361.0
Texico,New-Mexico,1067.0,0,100,30.2,16626.0,92033.0,800.0,85.2,1301.0
East-Providence,Rhode-Island,47618.0,100,0,41.3,34012.0,243063.0,997.0,92.3,3552.0
Redmond,Oregon,32421.0,100,0,38.4,28419.0,292943.0,1252.0,99.1,3167.0
Albany,New-York,96460.0,100,0,30.6,30777.0,189500.0,983.0,108.0,4512.0
Fern-Park,Florida,7704.0,,,44.9,32970.0,250786.0,1199.0,91.6,3756.0
Santa-Fe-Springs,California,17630.0,100,0,37.1,27446.0,494119.0,1492.0,137.8,2014.0
Charleston,South-Carolina,137566.0,96,4,34.0,45638.0,363600.0,1378.0,94.3,1418.0
Toledo,Ohio,272779.0,100,0,35.6,22111.0,84600.0,744.0,92.0,3383.0
Collegeville,Pennsylvania,5174.0,100,0,22.1,33351.0,350785.0,1213.0,102.6,3318.0
Ashland,Kentucky,20146.0,100,0,39.6,24824.0,110601.0,692.0,81.9,1819.0
Atascadero,California,30075.0,89,11,38.5,38543.0,547332.0,1585.0,106.4,1125.0
Boston,Massachusetts,692600.0,100,0,32.6,48978.0,627000.0,1735.0,146.6,14302.0
College-Station,Texas,117911.0,99,1,23.6,29651.0,286500.0,1007.0,89.2,2929.0
Mitchell,South-Dakota,15679.0,98,2,36.5,31134.0,162968.0,778.0,79.8,1589.0
Rowlett,Texas,67339.0,100,0,40.8,37796.0,264000.0,1473.0,94.6,3329.0
Pittsfield,Massachusetts,42142.0,94,6,45.0,32978.0,185431.0,884.0,106.5,1035.0
Dover,Delaware,38166.0,98,2,30.9,24397.0,178955.0,1077.0,91.1,1704.0
Myrtle-Beach,South-Carolina,34695.0,99,1,46.9,33075.0,241460.0,970.0,90.8,2068.0
Columbia,Maryland,104726.0,100,0,38.6,50277.0,402200.0,1751.0,132.9,3800.0
Stamford,Connecticut,129638.0,99,1,37.4,54943.0,565100.0,1898.0,137.5,3435.0
Hayward,California,159203.0,100,0,36.5,37243.0,645900.0,1958.0,150.4,3591.0
