state,county,"Less than a high school diploma, 2015-19","High school diploma only, 2015-19","Some college or associate's degree, 2015-19","Bachelor's degree or higher, 2015-19","Percent of adults with less than a high school diploma, 2015-19","Percent of adults with a high school diploma only, 2015-19","Percent of adults completing some college or associate's degree, 2015-19","Percent of adults with a bachelor's degree or higher, 2015-19"
North Carolina,Wilkes,9795,15647,16062,7796,19.868154525756836,31.73833656311035,32.58012008666992,15.813387870788574
North Carolina,Wilson,10950,17460,16191,10903,19.728307723999023,31.457191467285156,29.170869827270508,19.64362907409668
North Carolina,Yadkin,4726,9053,9860,3117,17.663328170776367,33.83539962768555,36.85154724121094,11.649723052978516
North Carolina,Yancey,2046,4386,4095,2678,15.494131088256836,33.214691162109375,31.0109806060791,20.280197143554688
North Dakota,Adams,90,564,568,420,5.481120586395264,34.34835433959961,34.59196090698242,25.578561782836914
North Dakota,Barnes,589,2409,2398,2249,7.704381942749023,31.510791778564453,31.366907119750977,29.41792106628418
North Dakota,Benson,536,1153,1591,632,13.701431274414062,29.47341537475586,40.669734954833984,16.155418395996094
North Dakota,Billings,74,233,213,186,10.481586456298828,33.00283432006836,30.169971466064453,26.345609664916992
North Dakota,Bottineau,376,1260,1813,1090,8.28376293182373,27.759418487548828,39.942718505859375,24.01409912109375
North Dakota,Bowman,233,738,643,516,10.938966751098633,34.64788818359375,30.187793731689453,24.225351333618164
North Dakota,Burke,111,416,630,341,7.409879684448242,27.770360946655273,42.05607604980469,22.76368522644043
North Dakota,Burleigh,3656,14514,22910,22873,5.716698169708252,22.694791793823242,35.82318115234375,35.76532745361328
North Dakota,Cass,5793,22448,38654,44952,5.179396629333496,20.070274353027344,34.55971145629883,40.190616607666016
North Dakota,Cavalier,221,856,1112,529,8.13097858428955,31.493745803833008,40.912437438964844,19.462841033935547
North Dakota,Dickey,288,925,1156,956,8.661654472351074,27.819549560546875,34.76691818237305,28.751880645751953
North Dakota,Divide,115,587,705,320,6.6589460372924805,33.98957824707031,40.822235107421875,18.52924156188965
North Dakota,Dunn,273,1027,1102,649,8.947885513305664,33.661094665527344,36.11930465698242,21.271713256835938
North Dakota,Eddy,175,485,563,435,10.554885864257812,29.252111434936523,33.956573486328125,26.23642921447754
North Dakota,Emmons,311,861,827,444,12.730249404907227,35.243553161621094,33.85182189941406,18.174375534057617
North Dakota,Foster,224,603,873,620,9.655172348022461,25.991378784179688,37.629310607910156,26.724138259887695
North Dakota,Golden Valley,92,326,524,346,7.142857074737549,25.310558319091797,40.683231353759766,26.863353729248047
North Dakota,Grand Forks,2030,9184,15456,14729,4.903500080108643,22.184110641479492,37.33423614501953,35.578155517578125
North Dakota,Grant,173,630,627,315,9.914040565490723,36.103153228759766,35.93123245239258,18.051576614379883
