city,state,engineers,"other management occupations, except farmers and farm managers","other sales and related occupations, including supervisors","information and record clerks, except customer service representatives","material recording, scheduling, dispatching, and distributing workers","other office and administrative support workers, including supervisors","preschool, kindergarten, elementary, and middle school teachers","supervisors, construction and extraction workers",construction laborers,computer specialists,"counselors, social workers, and other community and social service specialists",cashiers,"other production occupations, including supervisors",assemblers and fabricators,building and grounds cleaning and maintenance occupations,"law enforcement workers, including supervisors","laborers and material movers, hand",driver/sales workers and truck drivers,"electrical equipment mechanics and other installation, maintenance, and repair workers, including supervisors",registered nurses,"nursing, psychiatric, and home health aides",cooks and food preparation workers,carpenters,"retail sales workers, except cashiers",customer service representatives,health technologists and technicians,"sales representatives, services, wholesale and manufacturing",top executives,secretaries and administrative assistants,waiters and waitresses,"vehicle and mobile equipment mechanics, installers, and repairers","other food preparation and serving workers, including supervisors","bookkeeping, accounting, and auditing clerks",farmers and farm managers,"agricultural workers, including supervisors",child care workers,"other teachers, instructors, education, training, and library occupations",postsecondary teachers,"other material moving workers, except laborers",metal workers and plastic workers,"operations specialties managers, except financial managers","entertainers and performers, sports, and related workers",media and communications workers,other healthcare support occupations,extraction workers,"construction traders workers except carpenters, electricians, painters, plumbers, and construction laborers",personal appearance workers,"financial clerks, except bookkeeping, accounting and auditing clerks",lawyers,physicians and surgeons,painters and paperhangers,accountants and auditors,"teachers, secondary school",rail and water transportation workers,"advertising, marketing, promotions, public relations, and sales managers",life and physical scientists,food processing workers,"supervisors and other personal care and service workers, except child care workers","other protective service workers, including supervisors","textile, apparel, and furnishings workers",social scientists and related workers,other transportation occupations,therapists,other financial specialists,"life, physical, and social science technicians",mathematical science occupations,woodworkers,art and design workers,"pipelayers, plumbers, pipefitters, and steamfitters",bus drivers,"transportation, tourism, and lodging attendants","food and beverage serving workers, except waiters and waitresses","fishing, hunting, and forestry occupations",religious workers,"motor vehicle operators, except bus and truck drivers",printing workers,"drafters, engineering, and mapping technicians",other health diagnosing and treating practitioners and technical occupations,electricians,"supervisors, transportation, and material moving workers","judges, magistrates, and other judicial workers",legal support workers,other construction workers and helpers,financial managers,occupational and physical therapist assistants and aides,plant and system operators,communications equipment operators,"teachers, special education"
Hillsdale,New-Jersey,,4.0,4.6,,,6.9,6.7,,,5.1,,,,,5.4,,,,4.2,,,,,4.4,,,4.4,,9.0,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-Miami,Florida,,2.9,4.5,3.6,3.9,5.6,,,,,,5.1,,,6.3,,3.7,,4.5,4.6,7.9,,,,,,,,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shepherd,Texas,,,4.5,6.5,3.5,8.9,7.9,4.5,,,,4.1,4.9,,3.5,,,5.9,10.6,,7.9,,,,,,,,,,7.5,,,,,,4.5,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,California,,4.9,,3.5,,3.9,,,,4.2,,,,,3.0,,5.0,5.4,3.2,3.4,6.2,,,,,,,,2.7,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgeport,Connecticut,,2.9,,,,,,,,,3.5,4.3,,,5.8,,5.4,5.3,,,12.5,4.2,4.2,,4.6,4.5,,,3.5,,,,,,,,,,,3.5,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endicott,New-York,4.3,4.5,4.5,4.3,5.2,6.1,3.9,,,,,5.8,6.0,3.5,5.0,,,,,,4.0,,,,,,4.9,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newark,Delaware,3.3,5.3,,,2.8,7.5,5.0,,,5.1,,,,,,,,,2.8,4.1,,,,5.7,,,,,5.5,7.7,,,,,,,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peoria,Illinois,9.8,4.6,,,,,,,,5.2,3.9,,,,3.0,,4.3,3.3,,5.4,7.5,2.5,,,,4.3,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympia,Washington,,5.2,3.9,3.3,,8.9,5.4,,,4.6,,,3.2,,3.6,,,,3.5,,,,,3.2,,,,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somerton,Arizona,,,3.9,9.9,,,,,,,,5.1,6.2,,9.6,,5.9,4.8,4.1,,,,,,,,,,5.7,,5.7,,,,15.6,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleveland,Tennessee,,4.6,4.7,,4.0,4.6,6.0,,,,,3.6,6.5,,4.0,,4.0,4.1,4.8,,,,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washburn,Maine,,,,,3.6,9.4,6.4,,,,,,5.3,,3.7,,,6.7,4.8,5.6,,,,,,,,,7.2,,4.4,,4.3,,4.4,4.8,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guymon,Oklahoma,,,3.3,4.4,,6.9,5.0,,,,,,6.7,,4.2,,,3.9,6.2,,,,,,,,,,4.5,,4.4,,4.4,,6.5,,,,,,,,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemon-Grove,California,,4.0,4.5,3.9,,6.8,,,,,,4.6,4.0,,4.9,,,4.1,5.4,,,,,3.1,4.0,,,,7.3,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omaha,Nebraska,,5.5,,3.0,,,,,,5.4,,,2.7,,2.7,,5.3,,3.2,4.7,3.7,,,,2.4,2.7,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edinburg,Texas,,4.8,3.5,,3.6,6.4,11.6,,,,,5.3,,,4.7,3.4,,7.2,,,4.6,,,,,,,,6.2,,4.2,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North-Platte,Nebraska,,3.8,4.3,5.9,,5.6,,,,,,4.6,,,4.4,,,6.9,4.0,,,,,5.9,,,,,7.3,4.4,8.9,,,,,,,,,,,,,,,,,,,,,,,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encinitas,California,3.8,5.4,4.0,,,3.7,5.9,,,4.6,,,,,4.1,,,,,3.9,,,,3.6,,,4.4,4.6,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarkston,Georgia,,3.6,,,6.5,8.6,,,,3.8,,,6.3,,,,4.3,,5.8,,,4.3,4.0,,4.9,,,,4.8,,,,,,,,,,,,,,,,,3.4,,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batesville,Mississippi,,5.8,7.6,,,7.0,10.6,,,,,,4.9,,4.1,,,4.1,5.7,,,,,,,,,,4.4,,,,5.4,,,,,,,6.5,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hayward,Wisconsin,,3.4,5.8,4.3,7.8,,,,,,,6.2,,,7.1,,5.2,,5.7,,,5.1,,6.4,,,,,4.3,5.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,Tennessee,,5.2,4.2,,,8.8,6.7,5.2,,,,5.6,6.3,,6.4,,,,7.2,8.6,,,,,,,3.5,,8.0,,5.2,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairview,Tennessee,,,,,6.5,9.9,4.0,,,3.7,,,3.4,,5.4,,,8.3,5.7,4.1,,,,6.0,,,4.5,,5.4,,3.5,,,,,,,,3.9,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Antonio,Texas,,4.1,,3.3,,,,,3.4,3.9,,4.8,,,4.4,,4.4,4.9,,,4.4,4.0,,,3.5,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lowell,Massachusetts,,5.1,,,,,,,,4.4,,3.7,3.5,2.9,4.8,,5.2,3.5,,3.3,5.8,3.0,,,,2.8,,,,,,,,,,,,,,,,,,2.6,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake-City,Maryland,,4.4,4.6,5.1,5.0,7.7,4.1,,,,,,4.4,,5.0,,4.4,5.0,8.3,5.6,,,,,6.6,,,3.5,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brady,Texas,,3.8,6.0,,4.8,,5.3,,,,,5.3,5.2,,,,,9.9,4.9,,10.5,,,,,,,,5.5,6.0,,,,,4.9,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho-Falls,Idaho,6.3,3.3,6.0,4.0,,5.5,6.4,,,3.3,,4.1,,,,,,3.8,,,,,,4.5,,,3.6,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fall-River,Massachusetts,,4.3,,,,,,,4.9,,5.5,5.1,,,7.4,,3.3,5.4,3.6,,8.0,,5.3,,,3.8,,,,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontario,California,,4.4,,,,4.4,,,3.9,,,4.6,3.1,,4.0,,9.2,9.0,3.6,,4.0,,,3.8,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tupelo,Mississippi,,5.9,5.4,,,5.6,4.8,,,,,4.7,4.3,,,,,5.5,,4.2,,,,4.1,,,6.6,3.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Illinois,,5.1,6.2,,4.0,,8.2,,,,,9.2,6.2,,4.8,,,10.2,,,,,,5.1,,11.0,,,6.0,,,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnolds-Park,Iowa,,6.9,5.2,,,,,,,,,,5.9,,5.9,,4.1,,,,,,,4.4,,,5.4,4.3,7.8,,5.2,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheyenne,Wyoming,,3.6,4.7,4.9,,7.4,5.0,,,,,,,,3.7,,,5.2,4.2,,,,,3.8,,,,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookeville,Tennessee,,4.6,4.3,,,,5.6,,,,,4.5,4.6,,4.7,,,4.8,3.5,,,,,5.3,,,,,4.3,6.0,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Connecticut,,4.1,4.2,3.4,3.8,9.0,3.3,,,,,,3.6,,3.7,,,,4.8,,4.5,,,,,,,,6.0,,,,3.4,,,,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warwick,Rhode-Island,3.4,6.0,,,3.6,,,,,6.2,3.9,3.5,,,3.2,,,3.0,5.2,4.8,,,,,3.2,3.4,,,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuma,Arizona,,3.8,4.7,4.9,,5.7,6.0,,,,,5.0,3.9,,4.8,5.3,,3.8,4.7,3.6,,,,3.3,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freehold,New-Jersey,,5.3,3.4,4.1,3.5,7.2,,,4.6,,,,4.9,,5.2,,,,3.5,,5.1,,,,,,,,5.8,,,,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vienna,Virginia,5.2,6.4,3.1,5.0,,8.7,4.8,,,4.3,,,,,,,,,,4.8,,,,,,,,3.1,5.4,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Box-Elder,Montana,,7.0,,,6.1,6.2,10.6,,,,,,,,14.8,,,6.1,,,,9.7,,,,,,,,6.2,7.0,,,,,,16.8,,,,,,,,,,,,,,,,,,,,7.1,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indianapolis,Indiana,,5.2,,3.2,,,,,,3.8,,,3.7,,3.1,,3.8,5.8,,4.3,3.6,,,,3.4,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,Texas,,5.6,5.6,6.8,6.7,,6.3,,,,,,,,7.2,,,,,,,4.1,4.1,5.2,,,,,7.9,4.5,,,,,3.3,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levelland,Texas,,4.4,4.6,,,6.9,5.8,,,,,,,,5.1,,,6.9,6.1,,6.6,,,4.0,,,3.4,,6.9,,,,,,,,,,,,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texico,New-Mexico,,,5.5,,,5.8,,,,,,6.4,5.9,,7.3,,,6.4,,,,4.7,,,,,,,14.6,,6.4,4.1,5.3,,12.3,,,,,5.0,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East-Providence,Rhode-Island,,3.2,4.3,3.8,6.1,7.1,4.5,,,,,3.9,4.6,,5.1,,,5.5,4.6,,,,,,3.8,,,,6.8,,,,,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Redmond,Oregon,,4.1,5.5,6.0,,6.2,,,,,,,7.1,,4.7,,,4.6,,,,,4.7,4.0,,,,,6.8,,,,4.4,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albany,New-York,,6.5,,3.6,,2.8,,,,5.0,5.6,3.3,,,4.2,,4.3,,,,6.7,5.1,,,,,,,,,,,,,,,3.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Fern-Park,Florida,,3.8,6.3,,4.1,9.2,6.7,3.8,,5.7,,7.0,,,,,,,,5.4,,,,5.2,,,7.3,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa-Fe-Springs,California,,,5.4,6.1,,6.5,,,,,,,5.5,,,,4.2,10.5,4.0,,,,,3.9,4.3,,3.2,,4.7,,,,,,,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charleston,South-Carolina,,7.5,,4.3,,,,,,5.5,,,,,3.0,,,,2.6,4.5,,,,,,4.8,,2.7,,2.5,,,,,,,,,,,,,,,,,,,,2.7,,,,,3.3,,8.4,,,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,Ohio,,3.5,,,,,,,,,,5.9,5.2,3.4,3.9,,7.8,,,3.6,6.9,,,3.2,,3.4,,,,3.5,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collegeville,Pennsylvania,,8.0,3.4,4.0,,4.3,9.4,,,9.6,,,,,,,,,,4.2,,,,5.5,,,3.1,4.7,8.4,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashland,Kentucky,,4.4,5.2,,3.5,5.7,5.0,,,,,5.8,3.8,,3.9,,,4.6,5.3,6.7,,,,4.6,,,,,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atascadero,California,,3.9,4.2,,,5.4,6.0,,3.7,,,,,,4.2,5.5,,,4.5,5.4,,,,,,,,,5.9,,,,5.1,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston,Massachusetts,,7.4,,3.4,,,,,,7.0,2.9,,,,3.2,,,,,3.5,4.4,3.4,,,,,,2.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,
College-Station,Texas,,7.1,,6.2,,3.5,,,,6.3,,3.1,,,4.8,,,,,,,4.0,,4.2,,,,,3.2,,,,,,,,4.0,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,
Mitchell,South-Dakota,,4.7,4.0,,,4.4,4.4,,,,,,5.0,,4.3,,,4.4,4.5,,4.3,3.9,,4.0,,,3.2,,6.0,,,,,,,4.1,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowlett,Texas,4.3,5.1,3.9,,,7.3,7.4,,,5.9,,,,,,,,,4.2,6.3,,,,3.2,,,5.4,4.0,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pittsfield,Massachusetts,,4.2,5.0,,3.6,5.8,4.4,,,,,4.1,4.7,,4.4,,,,4.3,5.2,3.9,,,4.0,,,,,4.9,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dover,Delaware,,4.6,4.7,,4.1,5.6,5.1,,,,3.9,3.7,3.3,,3.6,,,,4.6,,,,,4.1,,,,,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtle-Beach,South-Carolina,,4.3,8.5,5.5,,4.5,,,,,,5.6,,,5.7,,,,5.7,,,5.5,3.9,4.2,,,,,4.4,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia,Maryland,5.3,10.1,,,,,,,,6.3,3.4,,,,,,,,2.3,3.4,,,,,,3.0,,3.0,,,,,,,,,2.7,,,,,,2.6,,,,,,,,,,,,,3.2,,,,,,,,,,2.7,,,,,,,,,,,,,,,,,,,,,,
Stamford,Connecticut,,4.7,,3.1,,,,,2.9,6.4,,,,,4.6,,,3.4,,,7.4,,,2.3,,,2.7,,4.0,,,,,,,3.7,,,,,,,,2.6,,,,,,,,2.3,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,
Hayward,California,,5.7,,,,3.2,,,2.9,6.4,,3.9,,,3.8,,3.6,5.3,,3.1,8.4,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El-Centro,California,,,4.0,4.0,3.5,7.2,6.4,,,,,5.1,,,3.9,8.2,,4.8,4.5,,,,,,,,,,4.6,,,,,,4.7,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lecanto,Florida,,6.0,,,8.1,8.7,4.3,5.3,,,,,4.6,6.0,7.4,,,,,5.5,,,,5.1,,,,,5.0,,,,,,,,,,,,,,,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madisonville,Tennessee,,,6.4,,,,8.0,,,,,5.4,9.1,5.8,7.8,,,4.5,4.4,,,8.5,,,,5.1,,,5.8,,,,,,,,,,,7.4,,,,,,,,,,,,,,,,,,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,South-Carolina,,4.6,4.6,,,5.1,8.1,,,,,4.5,3.8,,3.9,,,4.8,3.6,6.1,4.4,3.1,,,,,5.2,,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suwanee,Georgia,4.6,9.7,5.5,,,5.1,5.8,,,4.2,,,,,,,,,,4.7,,,,4.5,5.2,,4.9,,,,,,,,,,,,,,6.3,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burlington,Iowa,,,4.2,,3.9,4.2,4.3,,,,,4.4,5.4,5.4,,,5.0,5.0,4.2,,,,,5.1,,,,,5.8,,,,,,,,,,,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erie,Pennsylvania,,4.6,,,,,,,,,4.0,,,,5.5,,4.8,3.3,,4.5,7.9,3.4,,,,4.7,,,4.1,3.2,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sayre,Oklahoma,,,6.8,4.7,,,4.3,,,,,5.1,,,3.9,8.7,,7.7,,,8.8,6.5,,,,6.3,,,,6.5,4.1,,,,4.6,,,,,,,,,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambler,Pennsylvania,3.6,4.6,3.3,5.6,,6.9,4.5,,,4.5,,,,,5.9,,,4.7,,,,,,3.4,,,6.0,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superior,Wisconsin,,4.1,5.3,,,8.0,3.4,,,,,4.2,4.1,,3.8,,4.3,4.8,,,4.8,,,2.8,,3.5,,,5.4,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodstock,Virginia,,,9.3,,5.1,3.6,,,,,,4.8,5.8,,6.1,,,7.2,,6.0,3.6,3.8,,,,,,4.2,5.7,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meadville,Pennsylvania,,7.5,4.0,,,4.0,,,,,4.1,,3.5,,3.2,,4.2,3.2,,4.2,3.1,4.1,,5.1,,,,,5.9,,,,,,,,5.3,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zanesville,Ohio,,,4.7,,4.9,4.0,3.6,,,,,5.0,6.1,,5.4,,6.5,7.0,,,4.6,,,,,5.6,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,
Show-Low,Arizona,,4.3,7.7,6.4,,,8.2,,,,,4.8,,,,,,6.1,6.6,,,,,,,,3.8,,6.2,3.4,7.3,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augusta,Georgia,,4.2,3.6,,3.2,5.5,5.5,,,,,4.7,6.3,,4.4,,,5.0,4.5,4.5,,,,4.0,,4.7,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamesa,Texas,,,8.2,,,5.4,5.2,,,,,,,,5.5,5.1,4.4,6.4,7.4,,6.4,3.6,,,,,,,10.7,,4.9,,6.5,5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Independence,Kentucky,,4.7,5.0,,4.1,11.9,3.9,,,,,4.5,5.3,,3.5,,,6.3,6.6,,,,3.5,,5.4,,,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmira,New-York,,,3.8,,3.8,5.8,4.4,,,,,5.5,4.4,,4.9,6.4,,4.8,3.8,,5.2,,,4.6,,,,,4.4,,,,,,,3.9,,,,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hattiesburg,Mississippi,,3.9,3.8,,,5.1,3.8,,,,,6.7,5.0,,4.4,,,,4.0,,,,,5.6,,,,,4.4,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Francisco,California,3.2,7.9,,,,,,,,4.4,,,,,3.1,,,,,,3.1,,,,,,2.7,3.5,2.7,,,,,,,,,,,,,,,,,,,,2.2,,,,,,3.2,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,
Marlow-Heights,Maryland,,,,6.5,8.8,8.2,4.9,,,5.6,,,,,,,6.1,6.3,5.1,,,,,,,,,,14.6,,,,,,,4.1,,,,,,,,,,4.7,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concord,New-Hampshire,,3.6,3.7,,,7.0,4.3,,,,,,3.7,,3.4,,,3.4,4.4,4.3,,,,3.7,,,,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marion,Arkansas,,4.0,7.5,,,6.1,7.0,,,,,,4.2,,,,3.6,11.6,4.9,6.6,,,,3.6,,3.5,,,8.2,,4.8,,,,,,,,,,,,,,,,,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheridan,Wyoming,,4.6,4.1,,,5.5,4.7,,,,2.7,,,,4.0,,,4.3,4.2,,4.1,,3.6,,,,,,8.2,,,,5.3,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winston-Salem,North-Carolina,,4.4,,,,,,,,,,6.3,3.4,,3.6,,4.0,4.9,2.6,3.7,5.6,3.0,,3.6,,,,,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huntley,Illinois,,4.7,5.2,,,6.2,3.3,,,,,,,,,,,4.8,3.9,,,,,4.9,7.2,,6.7,,4.7,,,,4.4,,,,,,,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,,,,,
Wilkes-Barre,Pennsylvania,,3.1,,4.2,3.9,11.3,,,,,,3.9,6.1,,5.1,,6.3,3.8,4.0,,4.1,,,4.1,,3.7,,,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,Kentucky,,3.6,5.1,5.5,4.2,4.6,4.8,,,,,3.9,6.0,,4.8,,5.8,9.5,5.4,,,,,,,,4.0,,6.8,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
