city,state,Other Funds - Cash and Securities,Bond Funds - Cash and Securities,Sinking Funds - Cash and Securities,Bond Fund - Cash and Deposits,Employee Retirement - Total Other Securities,Total Federal Securities,Cash and Deposits,Sinking Fund - Cash and Deposits,Other Funds - Cash and Deposits
Mitchell,South-Dakota,2132.98,,72.71,,,,,,
Rowlett,Texas,443.53,328.01,64.32,,,,,,
Pittsfield,Massachusetts,646.67,128.14,,,,,,,
Dover,Delaware,2623.04,89.43,,,,,,,
Myrtle-Beach,South-Carolina,2962.33,103.70,244.73,,,,,,
Stamford,Connecticut,612.27,573.37,354.26,,,,,,
Hayward,California,1602.44,570.50,449.77,,,,,,
El-Centro,California,1146.31,2584.47,603.85,,,,,,
Madisonville,Tennessee,,,1166.93,,,,,,
Florence,South-Carolina,683.55,466.38,,,,,,,
Suwanee,Georgia,1103.12,,57.30,,,,,,
Burlington,Iowa,1248.74,53.90,,,,,,,
Erie,Pennsylvania,285.24,170.50,0.49,,,,,,
Ambler,Pennsylvania,1638.11,,,,,,,,
Woodstock,Virginia,1167.17,197.60,,,,,,,
Meadville,Pennsylvania,401.42,187.75,9.09,,,,,,
Zanesville,Ohio,485.61,,,,,,,,
Show-Low,Arizona,2127.95,,74.20,,,,,,
Lamesa,Texas,182.25,,,,,,,,
Independence,Kentucky,133.59,,,,,,,,
Elmira,New-York,371.55,106.79,,,,,,,
Hattiesburg,Mississippi,624.97,408.39,823.17,,,,,,
San-Francisco,California,6053.79,884.76,385.39,,,,,,
Concord,New-Hampshire,1773.70,111.56,22.69,,,,,,
Marion,Arkansas,846.39,1295.04,14421.36,,,,,,
Sheridan,Wyoming,973.24,,13.77,,,,,,
Huntley,Illinois,958.61,,381.48,,,,,,
Wilkes-Barre,Pennsylvania,159.96,113.67,,,,,,,
London,Kentucky,1968.77,,95.07,,,,,,
Barnesville,Ohio,2528.76,,82.54,,,,,,
Menasha,Wisconsin,342.64,132.27,161.98,,,,,,
Defiance,Ohio,997.96,,35.59,,,,,,
Hazleton,Pennsylvania,157.90,,4.40,,,,,,
West-Columbia,South-Carolina,1626.57,,1996.00,,,,,,
Lima,Ohio,967.70,,,,,,,,
Cotati,California,2308.64,143.59,,,,,,,
Cleveland,Ohio,2615.32,474.53,332.22,,,,,,
Spokane-Valley,Washington,,,,,,,,,134.99
Redwood-City,California,2656.36,585.14,240.27,,,,,,
Durant,Oklahoma,703.15,102.72,113.05,,,,,,
Starkville,Mississippi,587.10,,,,,,,,
Baton-Rouge,Louisiana,2858.51,636.06,3058.21,,,,,,
East-Chicago,Indiana,29.59,463.96,,,,,,,
Orlando,Florida,3490.12,117.72,64.33,,,,,,
Hot-Springs,Arkansas,1127.79,422.20,72.69,,,,,,
Dupont,Pennsylvania,183.75,,,,,,,,
Rockford,Michigan,874.67,,,,,,,,
Warren,Arkansas,450.87,,,,,,,,
Tustin,California,3368.82,561.68,,,,,,,
Russell-Springs,Kentucky,801.36,,112.21,,,,,,
Santa-Barbara,California,1218.96,275.94,,,,,,,
Eugene,Oregon,2597.69,311.88,74.43,,,,,,
Dumas,Texas,112.61,,15.48,,,,,,
Hamilton,Texas,,,432.27,,,,,,
Tyler,Texas,616.73,,62.00,,,,,,
Prescott,Arizona,1736.61,0.11,504.62,,,,,,
San-Jacinto,California,730.20,153.90,,,,,,,
Little-Rock,Arkansas,1022.88,287.33,624.74,,,,,,
Grants-Pass,Oregon,1797.80,,,,,,,,
Tampa,Florida,1313.37,296.84,2689.04,,,,,,
Victoria,Texas,1010.25,47.36,,,,,,,
Lewiston,Idaho,1178.27,,,,,,,,
Pawtucket,Rhode-Island,992.75,133.12,,,,,,,
Folcroft,Pennsylvania,,49.16,,,,,,,
Saginaw,Michigan,1362.88,,168.35,,,,,,
Schaumburg,Illinois,2035.21,,81.17,,,,,,
Texline,Texas,315.40,79.78,14.84,,,,,,
Kalispell,Montana,2011.07,,100.10,,,,,,
Austin,Texas,1297.61,764.89,489.81,,,,,,
Milledgeville,Georgia,2133.45,,152.96,,,,,,
Hopatcong,New-Jersey,998.80,237.70,,,,,,,
Atlantic-Highlands,New-Jersey,852.45,243.85,,,,,,,
Portage,Michigan,796.60,,,,,,,,
Joplin,Missouri,1044.44,,78.72,,,,,,
Des-Moines,Iowa,1000.59,209.66,40.91,,,,,,
San-Jose,California,1294.24,150.36,544.97,,,,,,
Tulsa,Oklahoma,2333.68,428.24,552.52,,,,,,
Amarillo,Texas,2623.82,486.57,126.96,,,,,,
Cary,Illinois,1107.49,,,,,,,,
Waukegan,Illinois,798.57,,229.39,,,,,,
Lady-Lake,Florida,1002.62,,,,,,,,
Bemidji,Minnesota,1052.35,,,,,,,,
Newport,Rhode-Island,3052.72,338.54,,,,,,,
Madison,Indiana,1435.71,,49.57,,,,,,
Fort-Stockton,Texas,391.76,,10.33,,,,,,
