city,state,Charges - Sewerage,Other,Parks and Recreation,Federal Intergovernmental - Other,Housing and Community Development,Miscellaneous - Fines and Forfeits,General Revenue - Other,Rents,Interest Earnings,Revenue - Water Utilities,State Intergovernmental - Water Utilities,Sewerage,Highways,General Local Government Support,Tax - General Sales and Gross Receipts,Property,Other Selective Sales,Public Utilities Sales,Occupation and Business License - Other,Other License,Documentary and Stock Transfer,Charges - Other,Federal Intergovernmental - Housing and Community Development,Local Intergovernmental - General Local Government Support,Miscellaneous - General Revenue - Other,Fines and Forfeits,Donations From Private Sources,State Intergovernmental - General Local Government Support,Transit Utilities,Education,Tax - Property,Sea and Inland Port Facilities,Regular Highways,Solid Waste Management,Miscellaneous Commercial Activities,Local Intergovernmental - Other,Special Assessments,Sale of Property,Revenue - Transit Utilities,State Intergovernmental - Other,Public Welfare,General Sales and Gross Receipts,Air Transportation,Parking Facilities,Federal Intergovernmental - Air Transportation,Health and Hospitals,Natural Resources,State Intergovernmental - Highways,Water Utilities,Individual Income,Corporation Net Income,Pari - mutuels Sales,Motor Vehicle License,Tobacco Products Sales,Amusements Sales,Public Utility License,Alcoholic Beverage License,Charges - Parks and Recreation,Elementary and Secondary Education - Other,Elementary and Secondary Education School Lunch,Local Intergovernmental - Education,Miscellaneous - Donations From Private Sources,Revenue - Electric Utilities,State Intergovernmental - Education,Alcoholic Beverage Sales,Miscellaneous - Interest Earnings,Gas Utilities,Charges - Solid Waste Management,Natural Resources - Other,Miscellaneous - Special Assessments,Miscellaneous - Rents,Charges - Air Transportation,Electric Utilities,Local Intergovernmental - Electric Utilities,Royalties,Charges - Miscellaneous Commercial Activities,Federal Intergovernmental - Transit Utilities,Local Intergovernmental - Housing and Community Development,Insurance Premiums Sales,Local Intergovernmental - Highways,Local Intergovernmental - Transit Utilities,State Intergovernmental - Transit Utilities,Federal Intergovernmental - General Local Government Support,Motor Fuels Sales,Local Intergovernmental - Water Utilities,Charges - Parking Facilities,Tax - Documentary and Stock Transfer,Federal Intergovernmental - Highways,State Intergovernmental - Sewerage,Amusements License,Hospital Public,Tax - Individual Income,Death and Gift,Elementary and Secondary Education School Tuition and Transportation,Revenue - Gas Utilities,Federal Intergovernmental - Health and Hospitals,Tax - Public Utilities Sales,Federal Intergovernmental - Public Welfare,Toll Highways,Charges - Housing and Community Development,Miscellaneous - Sale of Property,State Intergovernmental - Public Welfare,Charges - Hospital Public,Local Intergovernmental - Health and Hospitals,Employee Retirement - From Local Government,Local Employee Contribution,Interest Revenue,From Other Government,Property Sale Other,General Support,Public Utilities,Federal Intergovernmental - Water Utilities,Local Intergovernmental - Public Welfare,Federal Intergovernmental - Education,Tax - Other Selective Sales,Liquor Stores,Local Intergovernmental - Sewerage,Tax - Occupation and Business License - Other,Federal Intergovernmental - Natural Resources,Total General Sales,Federal Intergovernmental - Sewerage,Tax - Other,State Intergovernmental - Housing and Community Development,Revenue - Liquor Stores,Charges - Regular Highways,State Intergovernmental - Health and Hospitals,Corporation License,State Intergovernmental - Electric Utilities,Charges - Elementary and Secondary Education School Lunch,Motor Vehicle Operators License,Charges - Natural Resources - Other,Tax - Other License,Tax - Amusements Sales,Higher Education - Other,Higher Education Auxiliary Enterprises,Employee Retirement - Earnings on Investments (calculated),From Parent Local Government,Tax - Insurance Premiums Sales,Charges - Sea and Inland Port Facilities,Severance
Eugene,Oregon,284.42,17.48,40.31,,1.57,,,10.89,38.15,,,,0.26,33.33,,,22.95,76.63,5.71,38.55,,,,,62.44,17.43,4.58,,,,717.49,,,0.09,,79.66,49.23,12.84,,,,,32.89,57.81,50.43,,0.71,87.18,229.20,,,,,,,,0.20,,,,,,1475.16,,,,,,,,,,,,,,,,,,,,,18.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumas,Texas,,13.45,24.08,,,38.04,5.13,,0.29,,,125.05,,1.08,270.77,118.61,45.27,19.17,,5.50,,,,,,,,,,,,,,,,1.59,,,,4.12,,,,,,,,,219.57,,,,,,,,,,,,,,,,,,,176.68,,,,,,,,,,,,,,,,,,,,,,,,,,,261.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,Texas,181.27,2.99,2.32,,,33.86,30.88,1.66,1.66,537.18,,,,,,,50.46,,4.98,6.31,,,,,,,,,,,204.18,,,166.67,1.66,,,,,3.32,,190.57,40.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler,Texas,125.61,22.09,3.65,,,71.35,7.42,3.81,27.54,227.55,,,,3.87,433.72,178.93,36.65,118.22,,14.52,,,90.86,,,,3.66,,2.19,,,,,116.97,1.19,,,6.98,,5.26,,,60.28,,,,,,,,,,,,0.64,,,,,,,,,,,,,,0.68,,,,,,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prescott,Arizona,296.87,19.68,87.18,,6.34,,,4.42,9.82,374.23,,,80.54,,884.53,38.74,22.51,38.38,4.94,26.70,,,,,,7.43,4.00,276.28,,,,,,164.47,,86.91,8.51,,,,,,35.44,1.72,19.44,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Jacinto,California,,2.40,,,,,,1.50,,77.64,,19.02,18.49,0.41,,,0.77,37.24,4.02,21.15,3.47,67.52,9.90,,76.03,13.76,0.08,,,,202.38,,0.28,,,,6.10,0.16,,21.13,,73.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Little-Rock,Arkansas,280.20,220.11,89.18,,12.32,,24.13,1.47,,,,,2.82,15.55,381.53,277.60,77.71,155.18,34.42,15.49,,,,212.46,,15.60,22.28,,,,,13.54,0.10,94.02,1.96,,,1.55,,98.08,,,190.89,11.62,57.76,9.27,,,,,,,,,,,,,,,,,,,12.52,37.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grants-Pass,Oregon,164.89,18.78,1.28,,6.00,,13.28,2.44,,171.68,,3.98,4.53,26.72,,,40.27,101.78,8.20,34.84,,,,,,5.71,1.13,,,,499.82,,26.91,10.14,,17.71,4.77,2.88,,,,,,,,,,62.54,0.21,,,,,,,,0.08,,,,,,,,,21.77,,,,,,,,,,,,,,,,,,,,,,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tampa,Florida,272.43,39.65,57.79,18.34,9.60,,7.25,3.75,12.94,279.24,,0.28,7.73,6.85,,,4.44,196.17,109.48,27.28,,,,,,24.60,1.00,113.59,1.59,,388.87,,,221.64,,33.06,,7.20,,,,46.66,,39.57,,9.61,,,,,,,,,,,,,,,,,,,,,,,3.90,65.45,,,,,,,,,,,,,,27.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victoria,Texas,187.25,2.47,6.71,,5.62,,,0.82,6.74,195.07,,,,3.30,,,21.44,81.71,8.11,0.37,,,7.70,,44.77,18.08,,,,,365.47,,,81.58,,28.15,,7.53,,6.07,,330.15,,,,,,,,,,,,,1.03,,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lewiston,Idaho,,19.92,14.46,,5.00,,,,17.96,135.20,,42.06,47.24,,,,,,32.27,0.55,,,,68.71,64.17,1.68,34.68,66.15,1.31,,569.96,,35.38,,1.56,,,10.00,,,,,14.49,,,0.30,,,0.61,,,,,,,,1.19,,,,,,,,,,,160.64,,,,,,,,,22.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pawtucket,Rhode-Island,,44.15,0.21,,28.91,,11.52,,,292.04,,,,135.14,,,,,0.50,10.27,,103.29,,,,5.88,2.20,,,,1458.59,,,1.44,,,,,,,,,,,,,,,,,,,,,,,2.47,,10.08,8.64,8.53,,,1518.52,,18.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.05,,,,,,,,,,,,,,,,,,,,,,,,,,
Folcroft,Pennsylvania,,,,,,,0.15,,,,,,,0.60,,,,,,,,,,,,,,,,,,,,,,,,0.60,,,,,,,,,,22.01,,,,,,,,,,,,,,,,,,,,,,,9.05,,,,,,,,,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saginaw,Michigan,434.13,11.33,,,34.25,,,14.30,12.70,396.59,,,137.34,,,137.94,,13.28,2.02,17.35,,,241.61,,23.30,19.77,0.35,170.78,,,,,,82.68,9.37,65.03,0.06,1.23,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaumburg,Illinois,,17.04,7.13,,1.00,,,,16.83,412.75,,,42.56,1.08,,271.20,,45.60,,41.82,,694.51,,,23.04,19.78,,533.87,6.32,,,,,,,154.13,,,,,,274.92,,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,292.88,,,,,,,,,,,,,,,,,,,,,,,,,
Wilmington,North-Carolina,93.08,7.54,17.19,,,,,1.37,0.00,,,,30.81,,,,30.55,,2.46,0.13,,,10.54,,11.26,8.08,1.82,84.33,,,587.66,,,74.71,44.95,7.77,,0.19,,,,199.49,,32.06,,,,,,,,,5.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texline,Texas,,,,,,,,,,972.17,,,,,,,,,,,,,,,,,,,,,452.69,,,,,,,,,,,92.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalispell,Montana,324.57,63.63,22.59,252.23,28.98,,4.76,,,180.54,,0.65,21.29,,,,,,0.04,57.40,,,,,,18.32,,138.61,,,390.11,,112.27,41.85,,,15.27,,,,,,2.89,3.99,,,,,3.01,,,,,,,,1.34,,,,,,,,,30.41,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin,Texas,283.57,1.65,45.77,,0.52,,29.65,2.10,32.54,,,,8.01,,,,102.65,45.09,,44.29,,,30.06,,,25.70,3.37,10.50,,,535.31,,,105.36,,12.39,,8.03,,,,230.08,9.23,0.49,,0.67,,,281.47,,,,,,,,0.59,,,,,,1480.40,,,,,,85.05,82.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Milledgeville,Georgia,286.20,10.16,,,,,0.37,19.25,,131.31,,,,0.91,,,32.29,72.93,31.12,,,,,130.08,,24.38,,,,,187.77,,,107.46,,,,,,,,,,,,,,,,,,,,,,,7.91,,,,,,,,22.29,31.06,,,,,,,,,,,,,61.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.45,,,,,,,,,,,,,,,,,
Hopatcong,New-Jersey,292.47,13.46,,0.35,,,,6.63,1.90,63.23,,,21.22,,,,0.07,4.86,,20.58,,,,,8.88,7.75,,67.18,,,1042.01,,,,,,,,,,,,,,,1.06,,,,,,,,,,,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic-Highlands,New-Jersey,,6.21,,54.70,,,,,17.24,234.20,,351.41,,,,,,8.27,,29.19,,,,,40.91,25.28,,72.63,,,1238.11,,,5.52,,,,,,,,,,,,,,,,,,,,,,,2.30,1386.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portage,Michigan,,77.12,,,,,,4.11,8.15,,,,,83.47,,,,,40.49,,,389.58,4.49,,15.71,,,,,,461.73,,,,,6.92,0.47,0.42,,,2.27,,,,,,,117.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joplin,Missouri,259.26,3.38,24.53,,4.06,,,,10.43,,,1.96,,,419.07,59.44,357.86,125.46,18.11,13.61,,,529.76,,119.43,25.65,4.99,,14.75,,,,,47.29,2.00,8.01,0.65,4.58,3.12,,21.05,,94.71,,,,22.44,26.94,,,,,,4.71,,,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Des-Moines,Iowa,317.62,39.18,5.87,,6.73,,25.53,4.46,23.36,301.30,,,,24.48,,,29.58,105.45,,22.13,,,133.05,,,18.28,,,,,700.77,,1.83,58.51,7.09,52.96,1.01,,,,,,17.75,51.58,,,,120.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San-Jose,California,242.86,41.70,49.55,17.48,7.51,,,73.26,38.75,47.42,,,20.85,5.54,,,47.81,167.76,73.64,54.95,47.42,,,,83.02,18.32,4.67,,,,333.59,,4.14,131.12,,4.45,6.92,37.37,,59.36,9.47,206.47,9.88,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulsa,Oklahoma,273.78,1.57,52.06,,0.04,,,23.95,27.23,318.64,,,8.85,,771.98,198.30,18.48,60.87,19.79,,,,,,94.72,18.41,,10.06,8.71,,,,,66.51,2.52,,46.22,2.84,,,,,92.39,20.65,43.54,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amarillo,Texas,112.56,4.88,28.86,,0.15,,10.43,1.43,,278.34,,,,2.87,411.10,225.00,46.63,102.88,3.10,8.71,,,61.62,,,38.49,0.07,,1.50,,,,,107.28,,6.84,25.88,3.16,,30.54,,,11.54,,,15.28,,,22.08,,,,,,,,0.43,,,,,,,,,54.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cary,Illinois,,,,,11.40,,,,7.20,181.60,,,26.68,,,,24.91,26.07,,8.75,,77.43,,,34.70,9.24,,172.75,,,189.74,,,,,,,,,,0.17,,,12.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waukegan,Illinois,,14.56,0.46,,,33.55,20.78,,4.18,147.43,,,27.14,,,,110.97,83.67,,88.42,,48.84,5.96,,,,,262.39,,,403.61,,,,,,,,,,3.89,48.48,,8.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady-Lake,Florida,,0.56,0.19,,,,4.37,2.37,7.43,72.72,,52.56,3.68,0.87,,,13.61,124.41,89.45,24.22,,,,,,1.69,1.94,80.77,,,194.63,,2.12,,,7.30,,,,,,82.65,,,,,,,,,,,,,,,,,,,,,,,,,,72.16,,56.49,,,,,,,,,6.37,,,,,1.19,,,,2.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bemidji,Minnesota,223.40,63.17,216.08,,,,35.38,,10.69,,,0.13,59.48,,,,1.43,72.83,,49.57,,,6.61,,,12.25,,209.28,,,499.03,,156.41,47.82,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,41.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.50,,,,,,,,,,,,,,,,
Newport,Rhode-Island,733.42,214.56,36.74,,4.97,,6.45,5.71,,727.79,,,,147.00,,,191.71,,4.27,43.44,,,,,,5.88,28.07,,,,3034.73,46.89,,1.07,,,,1.36,,,,,,74.75,,6.58,,,,,,,,,,,7.85,,32.83,6.33,41.71,,,688.71,,78.86,,,,,,,,,,,,,,,,,,,,,,,,0.41,,,,0.66,,,,,,,,,,,,,,,,,,,,30.41,,,,,,,,,,,,,,,,,,,,,,,,,,
Madison,Indiana,477.36,40.64,62.05,0.34,,,,3.63,7.93,195.77,,15.77,,32.21,,,,,,3.54,,,,,53.71,,0.67,,,,610.15,32.54,,76.13,,,,,,,,,35.66,,,,,52.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Stockton,Texas,,8.19,12.23,,,24.58,15.91,,5.34,369.91,,154.73,38.24,,367.06,151.17,116.14,36.10,10.21,0.83,,,68.04,,,,,1.90,,,,,,,1.31,163.28,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,199.86,206.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobbs,New-Mexico,165.68,15.79,,,0.33,,11.70,,,109.30,,25.86,27.34,,1251.60,66.30,45.27,55.21,,16.04,,,,,,17.22,,1172.10,0.89,,,,,158.45,4.57,,,,,,,,0.97,,,0.79,,,17.25,,,,,,,,,,,,,,,,,132.60,,,,,,,,,,,14.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall,Minnesota,,180.03,46.71,,,,,4.52,6.52,,,,,,,,,30.92,,,,,,18.61,128.05,7.49,,467.41,,,471.57,,,,,,89.27,,,,,142.51,8.97,,10.16,,,,,,,,,,,,24.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.37,,,,,,,,,,,,,,,
Denison,Iowa,417.39,11.52,13.95,73.27,,,,21.23,18.92,,,,,18.80,,,18.80,,,9.46,,,,,176.25,10.31,,,,,513.95,,,58.22,,9.10,1.46,1.09,,,,105.53,,,,,,128.46,294.64,,,,,,,,,,,,,,1260.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Pierce,Florida,274.73,6.38,110.08,36.64,5.88,,,13.06,8.39,,,,1.41,,,,44.66,93.59,5.57,31.93,,,,3.23,201.92,4.16,8.33,77.74,,,414.31,80.88,,143.63,,,,23.79,,,,,,,,,,,349.76,,,,,,,,,,,,,,1424.33,,,,99.17,,59.69,,,,,,,,,,7.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spartanburg,South-Carolina,,8.77,39.52,,11.90,,,5.35,16.60,1071.02,,37.49,26.28,22.35,,,135.27,,332.47,15.91,,44.68,,,56.63,9.22,,21.90,3.32,,515.31,,,2.25,,,7.89,2.89,,,10.56,,,12.30,160.59,,,,,,,,,,,,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Decorah,Iowa,143.74,27.59,68.11,11.48,,,,1.06,5.94,107.18,,,,,,,59.13,,,8.58,,,,,103.35,,,,,,602.56,,,,,44.09,5.81,11.09,,,,130.68,8.58,0.26,,,,136.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain-Home,Arkansas,253.08,45.43,9.55,,,,20.53,,,366.46,,,,43.36,392.47,79.80,,93.25,,25.38,,,,155.06,,28.80,2.78,,,,,,,,,,3.82,1.67,,,,,,,,,,53.86,,,,,,,,,,,,,,,,,,32.38,,,,,,,,,,,,,,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clarksville,Indiana,523.52,6.87,152.05,,,7.89,5.33,1.21,5.61,,,,93.05,43.42,,,,4.31,,2.78,,,,,,,0.37,,,,1046.76,,,,,,,1.35,,323.87,,,,0.05,,,,,,308.70,,,38.27,,,15.21,,,,,,,,,,,,,,,,,,,,,,,,13.73,,,,,,,,39.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florence,Alabama,194.60,5.74,44.12,,,31.62,7.53,,13.36,,,,8.02,35.76,831.80,297.35,,,104.00,2.89,,,,,,,3.11,,,,,,2.18,141.68,0.02,28.11,14.56,1.03,,37.67,,,,,,,,,300.56,,,,,5.69,,,,,,,,,3018.70,,25.39,,427.14,,,,,,,,,,,,,,,,,8.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristol,Virginia,,14.02,41.46,,11.63,,,6.98,0.36,,,,397.21,53.81,,,422.74,9.25,83.58,7.46,26.13,,,,46.12,12.89,,,9.07,12.59,1060.26,,,,,,,5.19,2.51,,114.07,244.84,,1.43,,,,,,,,,16.53,27.74,6.80,,,,0.24,8.53,12.23,,,1158.51,,,,280.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,171.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holyoke,Massachusetts,193.31,55.41,,,,,30.66,,,,,,24.33,293.07,,,38.06,,,14.53,,,65.71,,,,6.81,,,52.75,1352.57,,,,,,,,,,7.30,,,8.80,,,,,150.48,,,,,,,,,,0.80,66.53,15.16,,1142.68,2262.88,,96.64,520.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort-Smith,Arkansas,342.46,23.28,12.79,,,,44.13,,,282.20,,,,30.06,493.91,162.38,9.72,71.73,,20.82,,,21.01,189.92,,23.73,,,19.63,,,,,167.91,,,,1.43,,,,,20.64,1.74,,,,67.50,,,,,,,,,,,,,,,,,,225.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okeechobee,Florida,,52.27,,,,,4.30,,0.69,,,,0.52,,,,21.32,137.90,104.54,20.63,,,,1.55,,6.71,1.03,111.24,,,324.62,,,,,,,,,,,119.33,,,,,,,,,,,,,,,,,,,,,,,,,,66.54,9.46,,,,,,,,,,,,,,,113.65,,,,,,,,,,,,,,,,,42.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paducah,Kentucky,,43.39,6.35,,111.92,,10.01,,28.96,,,,21.15,12.47,,264.11,,10.78,,7.52,,264.91,132.07,,,4.10,26.42,,64.79,,,,,183.19,36.64,61.01,,23.04,,,7.64,,,,,,,,8.32,,186.25,,,,,,6.35,,,,,,3013.79,,,,,,,,39.90,,12.47,,,,,,184.72,,,107.14,,,,,,,,,,831.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallington,New-Jersey,128.14,2.61,,,,,,5.48,1.39,222.62,,,,,,,,7.57,,12.18,,,,,33.06,18.70,,59.59,,,832.71,,,,,,,,,,,,,,,0.96,,,,,,,,,,,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut,California,,1.38,33.52,64.58,6.33,,3.57,,4.99,,,,,0.34,,,,30.22,4.28,45.21,5.83,116.32,,,,4.08,,,,,197.81,,,,,,,,,,,72.90,,,,,,19.81,,,,,,,,,,,,,,,,,,,,,,,10.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen,Washington,302.88,31.63,3.52,3.70,2.86,13.55,8.18,8.53,0.06,230.66,,,35.09,13.31,219.68,172.42,6.33,171.94,160.12,13.73,7.46,,,,,,7.04,,,,,,,0.30,,10.50,0.54,,,137.92,,,,,,0.06,,,,,,,,,4.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Markham,Illinois,,42.96,43.20,,,,,,,304.78,,,25.74,,,,31.91,25.66,,54.17,,202.94,,,33.30,9.58,,298.93,,,663.47,,,88.11,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delmar,Delaware,,,,,,7.14,,,1.10,,,,,,,,,,,,,,,,,,,,,,510.98,,,,,,,,,,,,,,,,,24.70,,,,,,,,,,,,,,,,,,,,35.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carthage,Missouri,,53.91,,,,,7.32,,,,,,38.93,37.71,454.50,75.55,18.31,71.68,48.56,13.50,,,,,,22.38,25.36,,,,,,,,,,,13.56,,124.30,,,,,,,,,,,,,,0.88,,,,,,,,,2165.67,,,49.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,Arizona,,3.12,21.38,,50.06,,30.79,24.38,,245.53,,0.01,82.82,,450.34,205.59,29.51,61.81,1.81,45.67,,,,,,7.02,0.50,255.19,27.36,20.38,,,0.93,88.89,,,,11.53,,,0.04,,9.17,4.99,,,,,0.01,,,,,,,7.51,1.56,,,,,,,,,68.37,,,,,,241.29,,,,,29.41,,,,,,,,12.34,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingman,Arizona,303.84,46.82,42.76,,,,10.45,1.23,10.87,297.91,,0.32,148.07,,726.18,,,22.93,,32.53,,,,,,10.90,,205.98,13.70,,,,,115.92,,19.02,,,,,,,42.79,,5.00,,,,,,,,,,,,,,,,,,,,,,,,,25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
